Modified;File Name;File Format;Vendor ID;Family Name (NID16);Subfamily Name (NID17);Version;Copyright;Trademark;Manufacturer;URL Vendor;License Description;URL License;Religious Symbols;WOFF metadata;Critical Errors;Uncritical Errors
;opensanshebrew/OpenSansHebrew-ExtraBold.ttf;ttf;UKWN;Open Sans Hebrew;Extra Bold;Version 2.001,PS 002.001,hotconv 1.0.70,makeotf.lib2.5.58329;Digitized data copyright (c) 2011, Google Corporation. Copyright (c) 2012, 2013 Yanek Iontef (yanek@netvision.net.il);Open Sans is a trademark of Google and may be registered in certain jurisdictions.;Ascender Corporation, Yanek Iontef;http://www.ascendercorp.com/ http://www.fontef.com;Licensed under the Apache License, Version 2.0;http://www.apache.org/licenses/LICENSE-2.0;None;None;None;10
;opensanshebrew/OpenSansHebrew-Regular.ttf;ttf;UKWN;None;None;Version 2.001,PS 002.001,hotconv 1.0.70,makeotf.lib2.5.58329;Digitized data copyright (c) 2011, Google Corporation. Copyright (c) 2012, 2013 Yanek Iontef (yanek@netvision.net.il);Open Sans is a trademark of Google and may be registered in certain jurisdictions.;Ascender Corporation, Yanek Iontef;http://www.ascendercorp.com/ http://www.fontef.com;Licensed under the Apache License, Version 2.0;http://www.apache.org/licenses/LICENSE-2.0;None;None;None;6
;opensanshebrew/OpenSansHebrew-ExtraBoldItalic.ttf;ttf;UKWN;Open Sans Hebrew;Extra Bold Italic;Version 2.001,PS 002.001,hotconv 1.0.70,makeotf.lib2.5.58329;Digitized data copyright (c) 2011, Google Corporation. Copyright (c) 2012, 2013 Yanek Iontef (yanek@netvision.net.il);Open Sans is a trademark of Google and may be registered in certain jurisdictions.;Ascender Corporation, Yanek Iontef;http://www.ascendercorp.com/ http://www.fontef.com;Licensed under the Apache License, Version 2.0;http://www.apache.org/licenses/LICENSE-2.0;None;None;None;23
;opensanshebrew/OpenSansHebrew-Italic.ttf;ttf;UKWN;Open Sans Hebrew;Italic;Version 2.001,PS 002.001,hotconv 1.0.70,makeotf.lib2.5.58329;Digitized data copyright (c) 2011, Google Corporation. Copyright (c) 2012, 2013 Yanek Iontef (yanek@netvision.net.il);Open Sans is a trademark of Google and may be registered in certain jurisdictions.;Ascender Corporation, Yanek Iontef;http://www.ascendercorp.com/ http://www.fontef.com;Licensed under the Apache License, Version 2.0;http://www.apache.org/licenses/LICENSE-2.0;None;None;None;9
;opensanshebrew/OpenSansHebrew-Bold.ttf;ttf;UKWN;Open Sans Hebrew;Bold;Version 2.001,PS 002.001,hotconv 1.0.70,makeotf.lib2.5.58329;Digitized data copyright (c) 2011, Google Corporation. Copyright (c) 2012, 2013 Yanek Iontef (yanek@netvision.net.il);Open Sans is a trademark of Google and may be registered in certain jurisdictions.;Ascender Corporation, Yanek Iontef;http://www.ascendercorp.com/ http://www.fontef.com;Licensed under the Apache License, Version 2.0;http://www.apache.org/licenses/LICENSE-2.0;None;None;None;8
;opensanshebrew/OpenSansHebrew-LightItalic.ttf;ttf;UKWN;Open Sans Hebrew;Light Italic;Version 2.001,PS 002.001,hotconv 1.0.70,makeotf.lib2.5.58329;Digitized data copyright (c) 2011, Google Corporation. Copyright (c) 2012, 2013 Yanek Iontef (yanek@netvision.net.il);Open Sans is a trademark of Google and may be registered in certain jurisdictions.;Ascender Corporation, Yanek Iontef;http://www.ascendercorp.com/ http://www.fontef.com;Licensed under the Apache License, Version 2.0;http://www.apache.org/licenses/LICENSE-2.0;None;None;None;8
;opensanshebrew/OpenSansHebrew-Light.ttf;ttf;UKWN;Open Sans Hebrew;Light;Version 2.001,PS 002.001,hotconv 1.0.70,makeotf.lib2.5.58329;Digitized data copyright (c) 2011, Google Corporation. Copyright (c) 2012, 2013 Yanek Iontef (yanek@netvision.net.il);Open Sans is a trademark of Google and may be registered in certain jurisdictions.;Ascender Corporation, Yanek Iontef;http://www.ascendercorp.com/ http://www.fontef.com;Licensed under the Apache License, Version 2.0;http://www.apache.org/licenses/LICENSE-2.0;None;None;None;6
;opensanshebrew/OpenSansHebrew-BoldItalic.ttf;ttf;UKWN;Open Sans Hebrew;Bold Italic;Version 2.001,PS 002.001,hotconv 1.0.70,makeotf.lib2.5.58329;Digitized data copyright (c) 2011, Google Corporation. Copyright (c) 2012, 2013 Yanek Iontef (yanek@netvision.net.il);Open Sans is a trademark of Google and may be registered in certain jurisdictions.;Ascender Corporation, Yanek Iontef;http://www.ascendercorp.com/ http://www.fontef.com;Licensed under the Apache License, Version 2.0;http://www.apache.org/licenses/LICENSE-2.0;None;None;None;19
;mountainsofchristmas/MountainsofChristmas-Bold.ttf;ttf;dinr;None;None;Version 1.003;Copyright (c) 2010 2011, Font Diner, Inc DBA Tart Workshop (diner@fontdiner.com) with Reserved Font Name "Mountains of Christmas";Mountains of Christmas Bold is a trademark of Font Diner, Inc DBA Tart Workshop.;Font Diner, Inc DBA Tart Workshop;http://www.fontbros.com/tartworkshop.php;This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL;http://scripts.sil.org/OFL;None;None;None;238
;mountainsofchristmas/MountainsofChristmas-Regular.ttf;ttf;dinr;None;None;Version 1.003;Copyright (c) 2010 2011, Font Diner, Inc DBA Tart Workshop (diner@fontdiner.com) with Reserved Font Name "Mountains of Christmas";Mountains of Christmas is a trademark of Font Diner, Inc DBA Tart Workshop.;Font Diner, Inc DBA Tart Workshop;http://www.fontbros.com/tartworkshop.php;This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL;http://scripts.sil.org/OFL;None;None;None;48
;specialelite/SpecialElite-Regular.ttf;ttf;AOEF;None;None;Version 1.001;Copyright (c) 2010 by Brian J. Bonislawsky DBA Astigmatic (AOETI). All rights reserved. Available under the Apache 2.0 licence. http://www.apache.org/licenses/LICENSE-2.0.html;Special Elite is a trademark of Astigmatic (AOETI).;Astigmatic (AOETI);http://www.astigmatic.com/;Licensed under the Apache License, Version 2.0;http://www.apache.org/licenses/LICENSE-2.0;None;None;None;26
;permanentmarker/PermanentMarker-Regular.ttf;ttf;DINR;None;None;Version 1.001;Copyright (c) 2010 by Font Diner, Inc. All rights reserved.;Permanent Marker is a trademark of Font Diner, Inc.;Font Diner, Inc;http://www.fontdiner.com;Licensed under the Apache License, Version 2.0;http://www.apache.org/licenses/LICENSE-2.0;None;None;None;6
;jsmathcmbx10/jsMath-cmbx10.ttf;ttf;PfEd;None;None;Version 001.001 ;Generated from MetaFont bitmap by mftrace 1.0.33, http://www.cs.uu.nl/~hanwen/mftrace/ ;None;None;None;None;None;None;None;None;394
;maidenorange/MaidenOrange-Regular.ttf;ttf;AOEF;None;None;Version 1.001;Copyright (c) 2010 by Brian J. Bonislawsky DBA Astigmatic (AOETI). All rights reserved. Available under the Apache 2.0 licence. http://www.apache.org/licenses/LICENSE-2.0.html;Maiden Orange is a trademark of Astigmatic (AOETI).;Astigmatic (AOETI);http://www.astigmatic.com/;Licensed under the Apache License, Version 2.0;http://www.apache.org/licenses/LICENSE-2.0;None;None;None;1
;homemadeapple/HomemadeApple-Regular.ttf;ttf;DINR;None;None;Version 1.001;Copyright (c) 2010 by Font Diner, Inc. All rights reserved.;Homemade Apple is a trademark of Font Diner, Inc.;Font Diner, Inc;http://www.fontdiner.com;Licensed under the Apache License, Version 2.0;http://www.apache.org/licenses/LICENSE-2.0;None;None;None;38
;creepstercaps/CreepsterCaps-Regular.ttf;ttf;DINR;None;None;Version 1.000;Copyright (c) 2011 by Font Diner, Inc. All rights reserved.;Creepster is a trademark of Font Diner, Inc.;Font Diner, Inc;http://www.fontdiner.com;Licensed under the Apache License, Version 2.0;http://www.apache.org/licenses/LICENSE-2.0;None;None;None;238
;redressed/Redressed-Regular.ttf;ttf;AOEF;None;None;Version 1.001;Copyright (c) 2011 by Brian J. Bonislawsky DBA Astigmatic (AOETI). All rights reserved. Available under the Apache 2.0 licence. http://www.apache.org/licenses/LICENSE-2.0.html;Redressed is a trademark of Astigmatic (AOETI).;Astigmatic (AOETI);http://www.astigmatic.com/;Licensed under the Apache License, Version 2.0;http://www.apache.org/licenses/LICENSE-2.0;None;None;None;1
x;opensans/OpenSans[wdth,wght].ttf;ttf;GOOG;None;None;Version 3.000;Copyright 2020 The Open Sans Project Authors (https://github.com/googlefonts/opensans);Open Sans is a trademark of Google and may be registered in certain jurisdictions.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL;http://scripts.sil.org/OFL;None;None;None;5
x;opensans/OpenSans-Italic[wdth,wght].ttf;ttf;GOOG;None;None;Version 3.000;Copyright 2020 The Open Sans Project Authors (https://github.com/googlefonts/opensans);Open Sans is a trademark of Google and may be registered in certain jurisdictions.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL;http://scripts.sil.org/OFL;None;None;None;5
;cousine/Cousine-Regular.ttf;ttf;MONO;None;None;Version 1.21;Digitized data copyright (c) 2010-2012 Google Corporation.;Cousine is a trademark of Google Inc. and may be registered in certain jurisdictions.;Monotype Imaging Inc.;http://www.monotypeimaging.com;Licensed under the Apache License, Version 2.0;http://www.apache.org/licenses/LICENSE-2.0;None;None;None;3
;cousine/Cousine-Italic.ttf;ttf;MONO;None;None;Version 1.21;Digitized data copyright (c) 2010-2012 Google Corporation.;Cousine is a trademark of Google Inc. and may be registered in certain jurisdictions.;Monotype Imaging Inc.;http://www.monotypeimaging.com;Licensed under the Apache License, Version 2.0;http://www.apache.org/licenses/LICENSE-2.0;None;None;None;3
;cousine/Cousine-Bold.ttf;ttf;MONO;None;None;Version 1.21;Digitized data copyright (c) 2010-2012 Google Corporation.;Cousine is a trademark of Google Inc. and may be registered in certain jurisdictions.;Monotype Imaging Inc.;http://www.monotypeimaging.com;Licensed under the Apache License, Version 2.0;http://www.apache.org/licenses/LICENSE-2.0;None;None;None;3
;cousine/Cousine-BoldItalic.ttf;ttf;MONO;None;None;Version 1.21;Digitized data copyright (c) 2010-2012 Google Corporation.;Cousine is a trademark of Google Inc. and may be registered in certain jurisdictions.;Monotype Imaging Inc.;http://www.monotypeimaging.com;Licensed under the Apache License, Version 2.0;http://www.apache.org/licenses/LICENSE-2.0;None;None;None;4
;walterturncoat/WalterTurncoat-Regular.ttf;ttf;DINR;None;None;Version 1.001;Copyright (c) 2010 by Font Diner, Inc DBA Sideshow. All rights reserved.;Walter Turncoat is a trademark of Font Diner, Inc DBA Sideshow.;Font Diner, Inc DBA Sideshow;http://www.fontbros.com/sideshow.php;Licensed under the Apache License, Version 2.0;http://www.apache.org/licenses/LICENSE-2.0;None;None;None;15
