NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Full Name	Mac	Roman	English	Roboto Italic	(1, 0, 0, 4)
Postscript	Mac	Roman	English	Roboto-Italic	(1, 0, 0, 6)
Name ID [256]	Mac	Roman	English	Weight	(1, 0, 0, 256)
Name ID [257]	Mac	Roman	English	Width	(1, 0, 0, 257)
Name ID [258]	Mac	Roman	English	Italic	(1, 0, 0, 258)
Name ID [259]	Mac	Roman	English	Thin	(1, 0, 0, 259)
Name ID [260]	Mac	Roman	English	ExtraLight	(1, 0, 0, 260)
Name ID [261]	Mac	Roman	English	Light	(1, 0, 0, 261)
Name ID [262]	Mac	Roman	English	Regular	(1, 0, 0, 262)
Name ID [263]	Mac	Roman	English	Medium	(1, 0, 0, 263)
Name ID [265]	Mac	Roman	English	Bold	(1, 0, 0, 265)
Name ID [266]	Mac	Roman	English	ExtraBold	(1, 0, 0, 266)
Name ID [267]	Mac	Roman	English	Black	(1, 0, 0, 267)
Name ID [268]	Mac	Roman	English	Thin Italic	(1, 0, 0, 268)
Name ID [269]	Mac	Roman	English	ExtraLight Italic	(1, 0, 0, 269)
Name ID [270]	Mac	Roman	English	Light Italic	(1, 0, 0, 270)
Name ID [271]	Mac	Roman	English	Medium Italic	(1, 0, 0, 271)
Name ID [272]	Mac	Roman	English	SemiBold Italic	(1, 0, 0, 272)
Name ID [273]	Mac	Roman	English	Bold Italic	(1, 0, 0, 273)
Name ID [274]	Mac	Roman	English	ExtraBold Italic	(1, 0, 0, 274)
Name ID [275]	Mac	Roman	English	Black Italic	(1, 0, 0, 275)
Name ID [285]	Mac	Roman	English	Condensed Thin Italic	(1, 0, 0, 285)
Name ID [286]	Mac	Roman	English	Condensed ExtraLight Italic	(1, 0, 0, 286)
Name ID [287]	Mac	Roman	English	Condensed Light Italic	(1, 0, 0, 287)
Name ID [288]	Mac	Roman	English	Condensed Italic	(1, 0, 0, 288)
Name ID [289]	Mac	Roman	English	Condensed Medium Italic	(1, 0, 0, 289)
