File Name;File Format;Vendor ID;Family Name (NID16);Subfamily Name (NID17);Family Name (NID1);Subfamily Name (NID2);Full Name (NID4);PostScript Name (NID6);Version;Copyright;Trademark;Manufacturer;URL Vendor;License Description;URL License;Religious Symbols;WOFF metadata;Critical Errors;Uncritical Errors
NotoSansOsmanya-Regular.ttf;ttf;GOOG;None;None;Noto Sans Osmanya;Regular;Noto Sans Osmanya Regular;NotoSansOsmanya-Regular;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2017 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;None;1
NotoSansTamilUI-Condensed.ttf;ttf;GOOG;Noto Sans Tamil UI;Condensed;Noto Sans Tamil Cond;Regular;Noto Sans Tamil UI Condensed;NotoSansTamilUI-Condensed;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2017 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer + FontSplitter;4
NotoSansTamilUI-CondensedSemiBold.ttf;ttf;GOOG;Noto Sans Tamil UI;Condensed SemiBold;Noto Sans Tamil Cond SemBd;Regular;Noto Sans Tamil UI Condensed SemiBold;NotoSansTamilUI-CondensedSemiBold;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2017 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer + FontSplitter;4
NotoSansTamilUI-CondensedExtraLight.ttf;ttf;GOOG;Noto Sans Tamil UI;Condensed ExtraLight;Noto Sans Tamil Cond ExtLt;Regular;Noto Sans Tamil UI Condensed ExtraLight;NotoSansTamilUI-CondensedExtraLight;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2017 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer + FontSplitter;4
NotoSansTamilUI-CondensedExtraBold.ttf;ttf;GOOG;Noto Sans Tamil UI;Condensed ExtraBold;Noto Sans Tamil Cond ExtBd;Regular;Noto Sans Tamil UI Condensed ExtraBold;NotoSansTamilUI-CondensedExtraBold;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2017 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSplitter + FontSniffer;5
NotoSansTamilUI-CondensedLight.ttf;ttf;GOOG;Noto Sans Tamil UI;Condensed Light;Noto Sans Tamil Cond Light;Regular;Noto Sans Tamil UI Condensed Light;NotoSansTamilUI-CondensedLight;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2017 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer + FontSplitter;3
NotoSansTamilUI-CondensedBlack.ttf;ttf;GOOG;Noto Sans Tamil UI;Condensed Black;Noto Sans Tamil Cond Blk;Regular;Noto Sans Tamil UI Condensed Black;NotoSansTamilUI-CondensedBlack;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2017 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer + FontSplitter;3
NotoSansTamilUI-CondensedMedium.ttf;ttf;GOOG;Noto Sans Tamil UI;Condensed Medium;Noto Sans Tamil Cond Med;Regular;Noto Sans Tamil UI Condensed Medium;NotoSansTamilUI-CondensedMedium;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2017 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer + FontSplitter;4
NotoSansTamilUI-CondensedThin.ttf;ttf;GOOG;Noto Sans Tamil UI;Condensed Thin;Noto Sans Tamil Cond Thin;Regular;Noto Sans Tamil UI Condensed Thin;NotoSansTamilUI-CondensedThin;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2017 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer + FontSplitter;4
NotoSansTamilUI-CondensedBold.ttf;ttf;GOOG;Noto Sans Tamil UI;Condensed Bold;Noto Sans Tamil Cond;Bold;Noto Sans Tamil UI Condensed Bold;NotoSansTamilUI-CondensedBold;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2017 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer + FontSplitter;5
NotoSans-SemiCondensedBold.ttf;ttf;GOOG;Noto Sans;SemiCondensed Bold;Noto Sans SemCond;Bold;Noto Sans SemiCondensed Bold;NotoSans-SemiCondensedBold;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2015 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer + FontSplitter;47
NotoSans-SemiCondensedBlackItalic.ttf;ttf;GOOG;Noto Sans;SemiCondensed Black Italic;Noto Sans SemCond Blk;Italic;Noto Sans SemiCondensed Black Italic;NotoSans-SemiCondensedBlackItalic;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2015 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSplitter + FontSniffer;49
NotoSans-SemiCondensedSemiBold.ttf;ttf;GOOG;Noto Sans;SemiCondensed SemiBold;Noto Sans SemCond SemBd;Regular;Noto Sans SemiCondensed SemiBold;NotoSans-SemiCondensedSemiBold;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2015 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSplitter + FontSniffer;35
NotoSans-SemiCondensedExtraBold.ttf;ttf;GOOG;Noto Sans;SemiCondensed ExtraBold;Noto Sans SemCond ExtBd;Regular;Noto Sans SemiCondensed ExtraBold;NotoSans-SemiCondensedExtraBold;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2015 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer + FontSplitter;30
NotoSans-SemiCondensedExtraBoldItalic.ttf;ttf;GOOG;Noto Sans;SemiCondensed ExtraBold Italic;Noto Sans SemCond ExtBd;Italic;Noto Sans SemiCondensed ExtraBold Italic;NotoSans-SemiCondensedExtraBoldItalic;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2015 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer + FontSplitter;46
NotoSans-SemiCondensedLight.ttf;ttf;GOOG;Noto Sans;SemiCondensed Light;Noto Sans SemCond Light;Regular;Noto Sans SemiCondensed Light;NotoSans-SemiCondensedLight;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2015 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer + FontSplitter;37
NotoSans-SemiCondensedMedium.ttf;ttf;GOOG;Noto Sans;SemiCondensed Medium;Noto Sans SemCond Med;Regular;Noto Sans SemiCondensed Medium;NotoSans-SemiCondensedMedium;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2015 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSplitter + FontSniffer;32
