NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	(C) 1992 Carter & Cone Type Inc. Designed by Matthew Carter. (C) 1992 Type Solutions, Inc. Portions (C) 1992 Microsoft Corp. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Elephant Pro	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Italic	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.000;C&C ;ElephantPro-Italic	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Elephant Pro Italic	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.000	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	ElephantPro-Italic	(1, 0, 0, 6)
Manufacturer	Macintosh	Roman	English	Type Solutions, Inc. StingRay!™ V1.00.	(1, 0, 0, 8)
Copyright	Windows	Unicode BMP	English (United States)	(C) 1992 Carter & Cone Type Inc. Designed by Matthew Carter. (C) 1992 Type Solutions, Inc. Portions (C) 1992 Microsoft Corp. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Elephant Pro	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.000;C&C ;ElephantPro-Italic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Elephant Pro Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.000	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	ElephantPro-Italic	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Type Solutions, Inc. StingRay!™ V1.00.	(3, 1, 1033, 8)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Elephant Pro	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Italic	(3, 1, 1033, 17)
