NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c)1995, The Font Bureau, Inc. 1995, 1997, 1998. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Agency FB	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	FB Agency FB Bold	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Agency FB Bold	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.03;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	AgencyFB-Bold	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	The Font Bureau, Inc.	(1, 0, 0, 7)
License Text	Macintosh	Roman	English	Microsoft supplied font. You may use this font to create, display and print content as permitted by the license terms, or terms of use, of the Microsoft product, service or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(1, 0, 0, 13)
Subfamily Name	Windows	Unicode BMP	Catalan (Catalan)	Negreta	(3, 1, 1027, 2)
Full Font Name	Windows	Unicode BMP	Catalan (Catalan)	Agency FB Negreta	(3, 1, 1027, 4)
Subfamily Name	Windows	Unicode BMP	Czech (Czech Republic)	tučné	(3, 1, 1029, 2)
Full Font Name	Windows	Unicode BMP	Czech (Czech Republic)	Agency FB tučné	(3, 1, 1029, 4)
Subfamily Name	Windows	Unicode BMP	Danish (Denmark)	fed	(3, 1, 1030, 2)
Full Font Name	Windows	Unicode BMP	Danish (Denmark)	Agency FB fed	(3, 1, 1030, 4)
Subfamily Name	Windows	Unicode BMP	German (Germany)	Fett	(3, 1, 1031, 2)
Full Font Name	Windows	Unicode BMP	German (Germany)	Agency FB Fett	(3, 1, 1031, 4)
Subfamily Name	Windows	Unicode BMP	Greek (Greece)	Έντονα	(3, 1, 1032, 2)
Full Font Name	Windows	Unicode BMP	Greek (Greece)	Agency FB Έντονα	(3, 1, 1032, 4)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c)1995, The Font Bureau, Inc. 1995, 1997, 1998. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Agency FB	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	FB Agency FB Bold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Agency FB Bold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.03;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	AgencyFB-Bold	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	The Font Bureau, Inc.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	The Font Bureau, Inc.	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	The Font Bureau, Inc.	(3, 1, 1033, 9)
