NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	© 2016 The Monotype Corporation. All Rights Reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Arial Black	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Monotype - Arial Black Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Arial Black	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 5.23;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Arial-Black	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Arial is a trademark of The Monotype Corporation.	(1, 0, 0, 7)
Typographic Family Name	Macintosh	Roman	English	Arial	(1, 0, 0, 16)
Typographic Subfamily Name	Macintosh	Roman	English	Black	(1, 0, 0, 17)
Subfamily Name	Windows	Unicode BMP	Catalan (Catalan)	Normal	(3, 1, 1027, 2)
Full Font Name	Windows	Unicode BMP	Catalan (Catalan)	Arial Black Normal	(3, 1, 1027, 4)
Subfamily Name	Windows	Unicode BMP	Czech (Czech Republic)	obyčejné	(3, 1, 1029, 2)
Full Font Name	Windows	Unicode BMP	Czech (Czech Republic)	Arial Black obyčejné	(3, 1, 1029, 4)
Subfamily Name	Windows	Unicode BMP	Danish (Denmark)	normal	(3, 1, 1030, 2)
Full Font Name	Windows	Unicode BMP	Danish (Denmark)	Arial Black normal	(3, 1, 1030, 4)
Subfamily Name	Windows	Unicode BMP	German (Germany)	Standard	(3, 1, 1031, 2)
Full Font Name	Windows	Unicode BMP	German (Germany)	Arial Black Standard	(3, 1, 1031, 4)
Subfamily Name	Windows	Unicode BMP	Greek (Greece)	Κανονικά	(3, 1, 1032, 2)
Full Font Name	Windows	Unicode BMP	Greek (Greece)	Arial Black Κανονικά	(3, 1, 1032, 4)
Copyright	Windows	Unicode BMP	English (United States)	© 2016 The Monotype Corporation. All Rights Reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Arial Black	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Monotype - Arial Black Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Arial Black	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 5.23;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Arial-Black	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Arial is a trademark of The Monotype Corporation.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	The Monotype Corporation	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Monotype Type Drawing Office - Robin Nicholas, Patricia Saunders 1982	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	Monotype Drawing Office 1982. A contemporary sans serif design, Arial contains more humanist characteristics than many of its predecessors and as such is more in tune with the mood of the last decades of the twentieth century. The overall treatment of curves is softer and fuller than in most industrial-style sans serif faces. Terminal strokes are cut on the diagonal which helps to give the face a less mechanical appearance. Arial is an extremely versatile family of typefaces which can be used with equal success for text setting in reports, presentations, magazines etc, and for display use in newspapers, advertising and promotions.	(3, 1, 1033, 10)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.monotype.com/html/mtname/ms_welcome.html	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.monotype.com/html/designer/des_index.html	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	Microsoft supplied font. You may use this font to create, display, and print content as permitted by the license terms or terms of use, of the Microsoft product, service, or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://www.microsoft.com/typography	(3, 1, 1033, 14)
