NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Digitized data copyright (C) 1999 Monotype Typography, Inc. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Bodoni MT Condensed	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Monotype - Bodoni MT Condensed Bold	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Bodoni MT Condensed Bold	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 2.11;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	BodoniMTCondensed-Bold	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Monotype Bodoni® Condensed is a trademark of The Monotype Corporation which may be registered in certain jurisdictions.	(1, 0, 0, 7)
Subfamily Name	Windows	Unicode BMP	Catalan (Catalan)	Negreta	(3, 1, 1027, 2)
Full Font Name	Windows	Unicode BMP	Catalan (Catalan)	Bodoni MT Condensed Negreta	(3, 1, 1027, 4)
Subfamily Name	Windows	Unicode BMP	Czech (Czech Republic)	tučné	(3, 1, 1029, 2)
Full Font Name	Windows	Unicode BMP	Czech (Czech Republic)	Bodoni MT Condensed tučné	(3, 1, 1029, 4)
Subfamily Name	Windows	Unicode BMP	Danish (Denmark)	fed	(3, 1, 1030, 2)
Full Font Name	Windows	Unicode BMP	Danish (Denmark)	Bodoni MT Condensed fed	(3, 1, 1030, 4)
Subfamily Name	Windows	Unicode BMP	German (Germany)	Fett	(3, 1, 1031, 2)
Full Font Name	Windows	Unicode BMP	German (Germany)	Bodoni MT Condensed Fett	(3, 1, 1031, 4)
Subfamily Name	Windows	Unicode BMP	Greek (Greece)	Έντονα	(3, 1, 1032, 2)
Full Font Name	Windows	Unicode BMP	Greek (Greece)	Bodoni MT Condensed Έντονα	(3, 1, 1032, 4)
Copyright	Windows	Unicode BMP	English (United States)	Digitized data copyright (C) 1999 Monotype Typography, Inc. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Bodoni MT Condensed	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 2)
