NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 1989, 1994, 1997, 1998, The Font Bureau, Inc. Designed by David Berlow after Fred Goudy. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Californian FB	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Italic	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Californian FB Italic	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Californian FB Italic	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.01;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	CalifornianFB-Italic	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Copyright (c) 1985, 1987, 1988, 1989 The Font Bureau, Inc.  All rights reserved. CalifornianFB is a  trademark of The Font Bureau, Inc.	(1, 0, 0, 7)
Subfamily Name	Windows	Unicode BMP	Catalan (Catalan)	Cursiva	(3, 1, 1027, 2)
Full Font Name	Windows	Unicode BMP	Catalan (Catalan)	Californian FB Cursiva	(3, 1, 1027, 4)
Subfamily Name	Windows	Unicode BMP	Czech (Czech Republic)	kurzíva	(3, 1, 1029, 2)
Full Font Name	Windows	Unicode BMP	Czech (Czech Republic)	Californian FB kurzíva	(3, 1, 1029, 4)
Subfamily Name	Windows	Unicode BMP	Danish (Denmark)	kursiv	(3, 1, 1030, 2)
Full Font Name	Windows	Unicode BMP	Danish (Denmark)	Californian FB kursiv	(3, 1, 1030, 4)
Subfamily Name	Windows	Unicode BMP	German (Germany)	Kursiv	(3, 1, 1031, 2)
Full Font Name	Windows	Unicode BMP	German (Germany)	Californian FB Kursiv	(3, 1, 1031, 4)
Subfamily Name	Windows	Unicode BMP	Greek (Greece)	Πλάγια	(3, 1, 1032, 2)
Full Font Name	Windows	Unicode BMP	Greek (Greece)	Californian FB Πλάγια	(3, 1, 1032, 4)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 1989, 1994, 1997, 1998, The Font Bureau, Inc. Designed by David Berlow after Fred Goudy. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Californian FB	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Californian FB Italic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Californian FB Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.01;O365	(3, 1, 1033, 5)
