NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Digitized data copyright The Monotype Corporation 1991-1997. All rights reserved. Calisto® is a trademark of The Monotype Corporation which may be registered in certain jurisdictions.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Calisto MT	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold Italic	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Monotype - Calisto MT Bold Italic	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Calisto MT Bold Italic	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.63;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	CalistoMT-BoldItalic	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Calisto® is a trademark of The Monotype Corporation which may be registered in certain jurisdictions.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Monotype Typography	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Ron Carpenter	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://www.monotype.com/html/mtname/ms_welcome.html	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://www.monotype.com/html/designer/des_index.html	(1, 0, 0, 12)
Subfamily Name	Windows	Unicode BMP	Catalan (Catalan)	Negreta cursiva	(3, 1, 1027, 2)
Full Font Name	Windows	Unicode BMP	Catalan (Catalan)	Calisto MT Negreta cursiva	(3, 1, 1027, 4)
Subfamily Name	Windows	Unicode BMP	Czech (Czech Republic)	tučné kurzíva	(3, 1, 1029, 2)
Full Font Name	Windows	Unicode BMP	Czech (Czech Republic)	Calisto MT tučné kurzíva	(3, 1, 1029, 4)
Subfamily Name	Windows	Unicode BMP	Danish (Denmark)	fed kursiv	(3, 1, 1030, 2)
Full Font Name	Windows	Unicode BMP	Danish (Denmark)	Calisto MT fed kursiv	(3, 1, 1030, 4)
Subfamily Name	Windows	Unicode BMP	German (Germany)	Fett Kursiv	(3, 1, 1031, 2)
Full Font Name	Windows	Unicode BMP	German (Germany)	Calisto MT Fett Kursiv	(3, 1, 1031, 4)
Subfamily Name	Windows	Unicode BMP	Greek (Greece)	Έντονα Πλάγια	(3, 1, 1032, 2)
Full Font Name	Windows	Unicode BMP	Greek (Greece)	Calisto MT Έντονα Πλάγια	(3, 1, 1032, 4)
Copyright	Windows	Unicode BMP	English (United States)	Digitized data copyright The Monotype Corporation 1991-1997. All rights reserved. Calisto® is a trademark of The Monotype Corporation which may be registered in certain jurisdictions.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Calisto MT	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Monotype - Calisto MT Bold Italic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Calisto MT Bold Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.63;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	CalistoMT-BoldItalic	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Calisto® is a trademark of The Monotype Corporation which may be registered in certain jurisdictions.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Monotype Typography	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Ron Carpenter	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.monotype.com/html/mtname/ms_welcome.html	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.monotype.com/html/designer/des_index.html	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	Microsoft supplied font. You may use this font to create, display and print content as permitted by the license terms, or terms of use, of the Microsoft product, service or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(3, 1, 1033, 13)
Subfamily Name	Windows	Unicode BMP	Spanish (Traditional Sort) (Spain)	Negrita Cursiva	(3, 1, 1034, 2)
Full Font Name	Windows	Unicode BMP	Spanish (Traditional Sort) (Spain)	Calisto MT Negrita Cursiva	(3, 1, 1034, 4)
Subfamily Name	Windows	Unicode BMP	Finnish (Finland)	Lihavoitu Kursivoi	(3, 1, 1035, 2)
Full Font Name	Windows	Unicode BMP	Finnish (Finland)	Calisto MT Lihavoitu Kursivoi	(3, 1, 1035, 4)
Subfamily Name	Windows	Unicode BMP	French (France)	Gras Italique	(3, 1, 1036, 2)
Full Font Name	Windows	Unicode BMP	French (France)	Calisto MT Gras Italique	(3, 1, 1036, 4)
Subfamily Name	Windows	Unicode BMP	Hungarian (Hungary)	Félkövér dőlt	(3, 1, 1038, 2)
Full Font Name	Windows	Unicode BMP	Hungarian (Hungary)	Calisto MT Félkövér dőlt	(3, 1, 1038, 4)
Subfamily Name	Windows	Unicode BMP	Italian (Italy)	Grassetto Corsivo	(3, 1, 1040, 2)
Full Font Name	Windows	Unicode BMP	Italian (Italy)	Calisto MT Grassetto Corsivo	(3, 1, 1040, 4)
Subfamily Name	Windows	Unicode BMP	Dutch (Netherlands)	Vet Cursief	(3, 1, 1043, 2)
Full Font Name	Windows	Unicode BMP	Dutch (Netherlands)	Calisto MT Vet Cursief	(3, 1, 1043, 4)
Subfamily Name	Windows	Unicode BMP	Norwegian (Bokmal) (Norway)	Halvfet Kursiv	(3, 1, 1044, 2)
Full Font Name	Windows	Unicode BMP	Norwegian (Bokmal) (Norway)	Calisto MT Halvfet Kursiv	(3, 1, 1044, 4)
Subfamily Name	Windows	Unicode BMP	Polish (Poland)	Pogrubiona kursywa	(3, 1, 1045, 2)
Full Font Name	Windows	Unicode BMP	Polish (Poland)	Calisto MT Pogrubiona kursywa	(3, 1, 1045, 4)
Subfamily Name	Windows	Unicode BMP	Portuguese (Brazil)	Negrito Itálico	(3, 1, 1046, 2)
Full Font Name	Windows	Unicode BMP	Portuguese (Brazil)	Calisto MT Negrito Itálico	(3, 1, 1046, 4)
Subfamily Name	Windows	Unicode BMP	Russian (Russia)	Полужирный Курсив	(3, 1, 1049, 2)
Full Font Name	Windows	Unicode BMP	Russian (Russia)	Calisto MT Полужирный Курсив	(3, 1, 1049, 4)
Subfamily Name	Windows	Unicode BMP	Slovak (Slovakia)	Tučná kurzíva	(3, 1, 1051, 2)
Full Font Name	Windows	Unicode BMP	Slovak (Slovakia)	Calisto MT Tučná kurzíva	(3, 1, 1051, 4)
Subfamily Name	Windows	Unicode BMP	Swedish (Sweden)	Fet Kursiv	(3, 1, 1053, 2)
Full Font Name	Windows	Unicode BMP	Swedish (Sweden)	Calisto MT Fet Kursiv	(3, 1, 1053, 4)
Subfamily Name	Windows	Unicode BMP	Turkish (Turkey)	Kalın İtalik	(3, 1, 1055, 2)
Full Font Name	Windows	Unicode BMP	Turkish (Turkey)	Calisto MT Kalın İtalik	(3, 1, 1055, 4)
Subfamily Name	Windows	Unicode BMP	Slovenian (Slovenia)	Krepko poševno	(3, 1, 1060, 2)
Full Font Name	Windows	Unicode BMP	Slovenian (Slovenia)	Calisto MT Krepko poševno	(3, 1, 1060, 4)
Subfamily Name	Windows	Unicode BMP	Basque (Basque)	Lodi etzana	(3, 1, 1069, 2)
Full Font Name	Windows	Unicode BMP	Basque (Basque)	Calisto MT Lodi etzana	(3, 1, 1069, 4)
Subfamily Name	Windows	Unicode BMP	Spanish (Mexico)	Negrita Cursiva	(3, 1, 2058, 2)
Full Font Name	Windows	Unicode BMP	Spanish (Mexico)	Calisto MT Negrita Cursiva	(3, 1, 2058, 4)
Subfamily Name	Windows	Unicode BMP	Portuguese (Portugal)	Negrito Itálico	(3, 1, 2070, 2)
Full Font Name	Windows	Unicode BMP	Portuguese (Portugal)	Calisto MT Negrito Itálico	(3, 1, 2070, 4)
Subfamily Name	Windows	Unicode BMP	Spanish (Modern Sort) (Spain)	Negrita Cursiva	(3, 1, 3082, 2)
Full Font Name	Windows	Unicode BMP	Spanish (Modern Sort) (Spain)	Calisto MT Negrita Cursiva	(3, 1, 3082, 4)
Subfamily Name	Windows	Unicode BMP	French (Canada)	Gras Italique	(3, 1, 3084, 2)
Full Font Name	Windows	Unicode BMP	French (Canada)	Calisto MT Gras Italique	(3, 1, 3084, 4)
