NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright(c) Beijing Founder Electronics Co.,Ltd.2012	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	DengXian	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	DengXian Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	DengXian Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.17;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	DengXian	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	By Beijing Founder Electronics Co.,Ltd. 北京北大方正电子有限公司	(3, 1, 1033, 7)
License Text	Windows	Unicode BMP	English (United States)	Microsoft supplied font. You may use this font to create, display, and print content as permitted by the license terms or terms of use, of the Microsoft product, service, or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(3, 1, 1033, 13)
Copyright	Windows	Unicode BMP	Chinese (People’s Republic of China)	Copyright(c) Beijing Founder Electronics Co.,Ltd.2012	(3, 1, 2052, 0)
Family Name	Windows	Unicode BMP	Chinese (People’s Republic of China)	等线	(3, 1, 2052, 1)
Subfamily Name	Windows	Unicode BMP	Chinese (People’s Republic of China)	Regular	(3, 1, 2052, 2)
Unique Font Identifier	Windows	Unicode BMP	Chinese (People’s Republic of China)	等线 Regular	(3, 1, 2052, 3)
Full Font Name	Windows	Unicode BMP	Chinese (People’s Republic of China)	等线	(3, 1, 2052, 4)
Version	Windows	Unicode BMP	Chinese (People’s Republic of China)	Version 1.17;O365	(3, 1, 2052, 5)
PostScript Name	Windows	Unicode BMP	Chinese (People’s Republic of China)	Dengxian	(3, 1, 2052, 6)
Trademark	Windows	Unicode BMP	Chinese (People’s Republic of China)	By Beijing Founder Electronics Co.,Ltd. 北京北大方正电子有限公司	(3, 1, 2052, 7)
