NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright © 2016 Dubai Executive Council. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Dubai	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Monotype Imaging Inc.:Dubai Bold:2016	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Dubai Bold	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.10;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Dubai-Bold	(1, 0, 0, 6)
Manufacturer	Macintosh	Roman	English	Monotype Imaging Inc.	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Monotype Design Studio	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://www.monotype.com	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://www.monotype.com	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	Microsoft supplied font. You may use this font to create, display and print content as permitted by the license terms, or terms of use, of the Microsoft product, service or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://www.monotype.com	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright © 2016 Dubai Executive Council. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Dubai	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Monotype Imaging Inc.:Dubai Bold:2016	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Dubai Bold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.10;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Dubai-Bold	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Monotype Imaging Inc.	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Monotype Design Studio	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.monotype.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.monotype.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	Microsoft supplied font. You may use this font to create, display and print content as permitted by the license terms, or terms of use, of the Microsoft product, service or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://www.monotype.com	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Dubai	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 17)
