NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright 1990-92 by Design Science, Inc. (310) 433-0685; part of MathType mathematical equation editor	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	MT Extra	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Design Science:MT Extra:1992	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	MT Extra	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 3.01;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	MT-Extra	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	MathType is a trademark of Design Science, Inc.	(1, 0, 0, 7)
License Text	Macintosh	Roman	English	Microsoft supplied font. You may use this font to create, display and print content as permitted by the license terms, or terms of use, of the Microsoft product, service or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(1, 0, 0, 13)
Copyright	Windows	Symbol	English (United States)	Copyright 1990-92 by Design Science, Inc. (310) 433-0685; part of MathType mathematical equation editor	(3, 0, 1033, 0)
Family Name	Windows	Symbol	English (United States)	MT Extra	(3, 0, 1033, 1)
Subfamily Name	Windows	Symbol	English (United States)	Regular	(3, 0, 1033, 2)
Unique Font Identifier	Windows	Symbol	English (United States)	Design Science:MT Extra:1992	(3, 0, 1033, 3)
Full Font Name	Windows	Symbol	English (United States)	MT Extra	(3, 0, 1033, 4)
Version	Windows	Symbol	English (United States)	Version 3.01;O365	(3, 0, 1033, 5)
PostScript Name	Windows	Symbol	English (United States)	MT-Extra	(3, 0, 1033, 6)
Trademark	Windows	Symbol	English (United States)	MathType is a trademark of Design Science, Inc.	(3, 0, 1033, 7)
License Text	Windows	Unicode BMP	English (United States)	Microsoft supplied font. You may use this font to create, display and print content as permitted by the license terms, or terms of use, of the Microsoft product, service or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(3, 1, 1033, 13)
