NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Digitized data copyright The Monotype Corporation 1991-1995. All rights reserved. Forte™ is a trademark of The Monotype Corporation which may be registered in certain jurisdictions.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Forte	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Monotype - Forte MT Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Forte	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.61;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	ForteMT	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Forte™ is a trademark of The Monotype Corporation which may be registered in certain jurisdictions.	(1, 0, 0, 7)
Copyright	Windows	Unicode BMP	English (United States)	Digitized data copyright The Monotype Corporation 1991-1995. All rights reserved. Forte™ is a trademark of The Monotype Corporation which may be registered in certain jurisdictions.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Forte	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Monotype - Forte MT Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Forte	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.61;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	ForteMT	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Forte™ is a trademark of The Monotype Corporation which may be registered in certain jurisdictions.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Agfa Monotype Corporation	(3, 1, 1033, 8)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.agfamonotype.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.agfamonotype.com/html/designer/des_index.html	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	Microsoft supplied font. You may use this font to create, display and print content as permitted by the license terms, or terms of use, of the Microsoft product, service or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://www.agfamonotype.com/html/type/license.html	(3, 1, 1033, 14)
