NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Digitized data copyright The Monotype Corporation 1991-1995.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Grotesque	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Ascender - Grotesque Bold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Grotesque Bold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 3.01;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Grotesque-Bold	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Digitized data copyright The Monotype Corporation 1991-1995.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Monotype Imaging Inc.	(3, 1, 1033, 8)
License Text	Windows	Unicode BMP	English (United States)	Microsoft supplied font. You may use this font to create, display and print content as permitted by the license terms, or terms of use, of the Microsoft product, service or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(3, 1, 1033, 13)
