NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (C) RICOH Industrial Solutions Inc. All Rights Reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	HGMaruGothicMPRO	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	RICOH:HGMaruGothicMPRO:6.20;X0213(04)	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	HGMaruGothicMPRO	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 6.20;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	HGMaruGothicMPRO	(1, 0, 0, 6)
Manufacturer	Macintosh	Roman	English	RICOH Industrial Solutions Inc.	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Morisawa Inc.	(1, 0, 0, 9)
Copyright	Macintosh	Japanese	Japanese	Copyright (C) RICOH Industrial Solutions Inc. All Rights Reserved.	(1, 1, 11, 0)
Family Name	Macintosh	Japanese	Japanese	HG丸ｺﾞｼｯｸM-PRO	(1, 1, 11, 1)
Subfamily Name	Macintosh	Japanese	Japanese	Regular	(1, 1, 11, 2)
Unique Font Identifier	Macintosh	Japanese	Japanese	RICOH:HGMaruGothicMPRO:6.20;X0213(04)	(1, 1, 11, 3)
Full Font Name	Macintosh	Japanese	Japanese	HG丸ｺﾞｼｯｸM-PRO	(1, 1, 11, 4)
Version	Macintosh	Japanese	Japanese	Version 6.20;O365	(1, 1, 11, 5)
PostScript Name	Macintosh	Japanese	Japanese	HGMaruGothicMPRO	(1, 1, 11, 6)
Manufacturer	Macintosh	Japanese	Japanese	リコーインダストリアルソリューションズ株式会社	(1, 1, 11, 8)
Designer	Macintosh	Japanese	Japanese	株式会社モリサワ	(1, 1, 11, 9)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (C) RICOH Industrial Solutions Inc. All Rights Reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	HGMaruGothicMPRO	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	RICOH:HGMaruGothicMPRO:6.20;X0213(04)	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	HGMaruGothicMPRO	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 6.20;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	HGMaruGothicMPRO	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	RICOH Industrial Solutions Inc.	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Morisawa Inc.	(3, 1, 1033, 9)
Copyright	Windows	Unicode BMP	Japanese (Japan)	Copyright (C) RICOH Industrial Solutions Inc. All Rights Reserved.	(3, 1, 1041, 0)
Family Name	Windows	Unicode BMP	Japanese (Japan)	HG丸ｺﾞｼｯｸM-PRO	(3, 1, 1041, 1)
Subfamily Name	Windows	Unicode BMP	Japanese (Japan)	Regular	(3, 1, 1041, 2)
Unique Font Identifier	Windows	Unicode BMP	Japanese (Japan)	RICOH:HGMaruGothicMPRO:6.20;X0213(04)	(3, 1, 1041, 3)
Full Font Name	Windows	Unicode BMP	Japanese (Japan)	HG丸ｺﾞｼｯｸM-PRO	(3, 1, 1041, 4)
Version	Windows	Unicode BMP	Japanese (Japan)	Version 6.20;O365	(3, 1, 1041, 5)
PostScript Name	Windows	Unicode BMP	Japanese (Japan)	HGMaruGothicMPRO	(3, 1, 1041, 6)
Manufacturer	Windows	Unicode BMP	Japanese (Japan)	リコーインダストリアルソリューションズ株式会社	(3, 1, 1041, 8)
Designer	Windows	Unicode BMP	Japanese (Japan)	株式会社モリサワ	(3, 1, 1041, 9)
