NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Designer: Henri Friedlaender (1958), Yanek Iontef (2014); Copyright © 2014 Henri Friedlaender (1958), Yanek Iontef (2014), Microsoft Corporation (2015). All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Hadassah Friedlaender	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	HadassahFriedlaender-Bold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Hadassah Friedlaender Bold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 0.90;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	HadassahFriedlaender-Bold	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Yanek Iontef	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	“Hadassah” - Henri Friedlaender (1958), Yanek Iontef (2015)	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	www.fontef.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	www.fontef.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	Microsoft supplied font. You may use this font to create, display, and print content as permitted by the license terms or terms of use, of the Microsoft product, service, or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(3, 1, 1033, 13)
