NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	© 1991 by Bigelow & Holmes Inc. All Rights Reserved. © 1990-1991 Type Solutions, Inc. All Rights Reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Lucida Sans	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Demibold Italic	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Lucida Sans Demibold Italic: B&H: 1991	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Lucida Sans Demibold Italic	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.68;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	LucidaSans-DemiItalic	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Lucida® is a registered trademark of Bigelow & Holmes Inc.	(1, 0, 0, 7)
Subfamily Name	Windows	Unicode BMP	Danish (Denmark)	halvfed kursiv	(3, 1, 1030, 2)
Full Font Name	Windows	Unicode BMP	Danish (Denmark)	Lucida Sans halvfed kursiv	(3, 1, 1030, 4)
Subfamily Name	Windows	Unicode BMP	German (Germany)	Halbfett Kursiv	(3, 1, 1031, 2)
Full Font Name	Windows	Unicode BMP	German (Germany)	Lucida Sans Halbfett Kursiv	(3, 1, 1031, 4)
Copyright	Windows	Unicode BMP	English (United States)	© 1991 by Bigelow & Holmes Inc. All Rights Reserved. © 1990-1991 Type Solutions, Inc. All Rights Reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Lucida Sans	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Demibold Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Lucida Sans Demibold Italic: B&H: 1991	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Lucida Sans Demibold Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.68;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	LucidaSans-DemiItalic	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Lucida® is a registered trademark of Bigelow & Holmes Inc.	(3, 1, 1033, 7)
License Text	Windows	Unicode BMP	English (United States)	Microsoft supplied font. You may use this font to create, display and print content as permitted by the license terms, or terms of use, of the Microsoft product, service or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(3, 1, 1033, 13)
Subfamily Name	Windows	Unicode BMP	Spanish (Traditional Sort) (Spain)	Seminegrita Cursiva	(3, 1, 1034, 2)
Full Font Name	Windows	Unicode BMP	Spanish (Traditional Sort) (Spain)	Lucida Sans Seminegrita Cursiva	(3, 1, 1034, 4)
Subfamily Name	Windows	Unicode BMP	Finnish (Finland)	Puolilihavoitu Kursivoitu	(3, 1, 1035, 2)
Full Font Name	Windows	Unicode BMP	Finnish (Finland)	Lucida Sans Puolilihavoitu Kursivoitu	(3, 1, 1035, 4)
Subfamily Name	Windows	Unicode BMP	French (France)	Demi-gras Italique	(3, 1, 1036, 2)
Full Font Name	Windows	Unicode BMP	French (France)	Lucida Sans Demi-gras Italique	(3, 1, 1036, 4)
Subfamily Name	Windows	Unicode BMP	Italian (Italy)	Demi-grassetto Corsivo	(3, 1, 1040, 2)
Full Font Name	Windows	Unicode BMP	Italian (Italy)	Lucida Sans Demi-grassetto Corsivo	(3, 1, 1040, 4)
Subfamily Name	Windows	Unicode BMP	Dutch (Netherlands)	Halfvet Cursief	(3, 1, 1043, 2)
Full Font Name	Windows	Unicode BMP	Dutch (Netherlands)	Lucida Sans Halfvet Cursief	(3, 1, 1043, 4)
Subfamily Name	Windows	Unicode BMP	Norwegian (Bokmal) (Norway)	Trekvartsfet Kursiv	(3, 1, 1044, 2)
Full Font Name	Windows	Unicode BMP	Norwegian (Bokmal) (Norway)	Lucida Sans Trekvartsfet Kursiv	(3, 1, 1044, 4)
Subfamily Name	Windows	Unicode BMP	Swedish (Sweden)	Trekvartsfet Kursiv	(3, 1, 1053, 2)
Full Font Name	Windows	Unicode BMP	Swedish (Sweden)	Lucida Sans Trekvartsfet Kursiv	(3, 1, 1053, 4)
Subfamily Name	Windows	Unicode BMP	Portuguese (Portugal)	Seminegrito Itálico	(3, 1, 2070, 2)
Full Font Name	Windows	Unicode BMP	Portuguese (Portugal)	Lucida Sans Seminegrito Itálico	(3, 1, 2070, 4)
Subfamily Name	Windows	Unicode BMP	Spanish (Modern Sort) (Spain)	Seminegrita Cursiva	(3, 1, 3082, 2)
Full Font Name	Windows	Unicode BMP	Spanish (Modern Sort) (Spain)	Lucida Sans Seminegrita Cursiva	(3, 1, 3082, 4)
Subfamily Name	Windows	Unicode BMP	French (Canada)	Demi-gras Italique	(3, 1, 3084, 2)
Full Font Name	Windows	Unicode BMP	French (Canada)	Lucida Sans Demi-gras Italique	(3, 1, 3084, 4)
