NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	(c) Copyright 1997, 1998 The Font Bureau, Inc. and Leslie Cabarga. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Magneto	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	FB Magneto Bold	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Magneto Bold	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.01;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Magneto-Bold	(1, 0, 0, 6)
Subfamily Name	Windows	Unicode BMP	Catalan (Catalan)	Negreta	(3, 1, 1027, 2)
Full Font Name	Windows	Unicode BMP	Catalan (Catalan)	Magneto Negreta	(3, 1, 1027, 4)
Subfamily Name	Windows	Unicode BMP	Czech (Czech Republic)	tučné	(3, 1, 1029, 2)
Full Font Name	Windows	Unicode BMP	Czech (Czech Republic)	Magneto tučné	(3, 1, 1029, 4)
Subfamily Name	Windows	Unicode BMP	Danish (Denmark)	fed	(3, 1, 1030, 2)
Full Font Name	Windows	Unicode BMP	Danish (Denmark)	Magneto fed	(3, 1, 1030, 4)
Subfamily Name	Windows	Unicode BMP	German (Germany)	Fett	(3, 1, 1031, 2)
Full Font Name	Windows	Unicode BMP	German (Germany)	Magneto Fett	(3, 1, 1031, 4)
Subfamily Name	Windows	Unicode BMP	Greek (Greece)	Έντονα	(3, 1, 1032, 2)
Full Font Name	Windows	Unicode BMP	Greek (Greece)	Magneto Έντονα	(3, 1, 1032, 4)
Copyright	Windows	Unicode BMP	English (United States)	(c) Copyright 1997, 1998 The Font Bureau, Inc. and Leslie Cabarga. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Magneto	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	FB Magneto Bold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Magneto Bold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.01;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Magneto-Bold	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	The Font Bureau, Inc.	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Leslie Cabarga	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	Leslie Cabarga turned to the geometric, streamlined scripts prepared by American industrial designers for the inspiration of this series. In its three variation of letter spacing, Magneto recalls the chrome-strip lettering laid along the rounded shapes of refrigerator doors and automobile trunks in the forties and fifties; FB 1995.	(3, 1, 1033, 10)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.fontbureau.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.fontbureau.com/designers/cabarga.html	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	Microsoft supplied font. You may use this font to create, display and print content as permitted by the license terms, or terms of use, of the Microsoft product, service or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(3, 1, 1033, 13)
Subfamily Name	Windows	Unicode BMP	Spanish (Traditional Sort) (Spain)	Negrita	(3, 1, 1034, 2)
Full Font Name	Windows	Unicode BMP	Spanish (Traditional Sort) (Spain)	Magneto Negrita	(3, 1, 1034, 4)
Subfamily Name	Windows	Unicode BMP	Finnish (Finland)	Lihavoitu	(3, 1, 1035, 2)
Full Font Name	Windows	Unicode BMP	Finnish (Finland)	Magneto Lihavoitu	(3, 1, 1035, 4)
Subfamily Name	Windows	Unicode BMP	French (France)	Gras	(3, 1, 1036, 2)
Full Font Name	Windows	Unicode BMP	French (France)	Magneto Gras	(3, 1, 1036, 4)
Subfamily Name	Windows	Unicode BMP	Hungarian (Hungary)	Félkövér	(3, 1, 1038, 2)
Full Font Name	Windows	Unicode BMP	Hungarian (Hungary)	Magneto Félkövér	(3, 1, 1038, 4)
Subfamily Name	Windows	Unicode BMP	Italian (Italy)	Grassetto	(3, 1, 1040, 2)
Full Font Name	Windows	Unicode BMP	Italian (Italy)	Magneto Grassetto	(3, 1, 1040, 4)
