NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	© 2006 Microsoft Corporation. All Rights Reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Marlett	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Marlett	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Marlett	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 5.01;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Marlett	(1, 0, 0, 6)
License Text	Macintosh	Roman	English	Microsoft supplied font. You may use this font to create, display, and print content as permitted by the license terms or terms of use, of the Microsoft product, service, or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://www.microsoft.com/typography/fonts	(1, 0, 0, 14)
Copyright	Windows	Symbol	English (United States)	© 2006 Microsoft Corporation. All Rights Reserved.	(3, 0, 1033, 0)
Family Name	Windows	Symbol	English (United States)	Marlett	(3, 0, 1033, 1)
Subfamily Name	Windows	Symbol	English (United States)	Regular	(3, 0, 1033, 2)
Unique Font Identifier	Windows	Symbol	English (United States)	Marlett	(3, 0, 1033, 3)
Full Font Name	Windows	Symbol	English (United States)	Marlett	(3, 0, 1033, 4)
Version	Windows	Symbol	English (United States)	Version 5.01;O365	(3, 0, 1033, 5)
PostScript Name	Windows	Symbol	English (United States)	Marlett	(3, 0, 1033, 6)
License Text	Windows	Symbol	English (United States)	Microsoft supplied font. You may use this font to create, display, and print content as permitted by the license terms or terms of use, of the Microsoft product, service, or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(3, 0, 1033, 13)
License URL	Windows	Symbol	English (United States)	http://www.microsoft.com/typography/fonts	(3, 0, 1033, 14)
