NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	© 2018 Microsoft Corporation. All Rights Reserved. Portions © 2015 Beijing Founder Electronics Co. Ltd. All Rights Reserved. 	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Microsoft Himalaya	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Microsoft Himalaya	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Microsoft Himalaya	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 5.23;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	MicrosoftHimalaya	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Microsoft Himalaya is a trademark of the Microsoft group of companies.	(1, 0, 0, 7)
Description	Macintosh	Roman	English	The font glyphs compliant with China standard GB18030-2000 with the font name Founder Zang Baiti.	(1, 0, 0, 10)
License Text	Macintosh	Roman	English	Microsoft supplied font. You may use this font to create, display, and print content as permitted by the license terms or terms of use, of the Microsoft product, service, or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(1, 0, 0, 13)
Copyright	Windows	Unicode BMP	English (United States)	© 2018 Microsoft Corporation. All Rights Reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Microsoft Himalaya	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Microsoft Himalaya	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Microsoft Himalaya	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 5.23;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Microsoft Himalaya	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Microsoft Himalaya is a trademark of the Microsoft group of companies.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Microsoft Corporation	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Founder, Beijing China	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	The font glyphs compliant with China standard GB18030-2000 with the font name Founder Zang Baiti.	(3, 1, 1033, 10)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.microsoft.com/typography/fonts/	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.founder.com.cn/cn/	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	Microsoft supplied font. You may use this font to create, display, and print content as permitted by the license terms or terms of use, of the Microsoft product, service, or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://www.microsoft.com/typography/fonts/	(3, 1, 1033, 14)
