NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright © 2011 - 2012 Linotype Corp., www.linotype.com. All rights reserved. This font software may not be reproduced, modified, disclosed or transferred without the express written approval of Linotype Corp. 	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Neue Haas Grotesk Text Pro	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Linotype GmbH:Neue Haas Grotesk Text Pro Roman:2012	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Neue Haas Grotesk Text Pro	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.05;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	NeueHaasGroteskTextPro	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Neue Haas Grotesk is a trademark of Monotype Imaging Inc. and may be registered in certain jurisdictions.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Linotype GmbH	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Christian Schwartz	(1, 0, 0, 9)
Description	Macintosh	Roman	English	Designed by Christian Schwartz 2004-2010. Originally designed 1957-1961 by Max Miedinger with art direction by Eduard Hoffmann. Released as Neue Haas Grotesk by the Haas'sche Schriftgiesserei, and then revised and released as Helvetica by Linotype AG. Revival originally commissioned in 2004 by Mark Porter at The Guardian. Completed in 2010 for Richard Turley at Bloomberg Businessweek. Thinnest weight designed by Berton Hasebe.	(1, 0, 0, 10)
Vendor URL	Macintosh	Roman	English	http://www.linotype.com	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://www.linotype.com/fontdesigners	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	Microsoft supplied font. You may use this font to create, display, and print content as permitted by the license terms or terms of use, of the Microsoft product, service, or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://www.linotype.com/license	(1, 0, 0, 14)
Compatible Full Name	Macintosh	Roman	English	Neue Haas Grotesk Text Pro	(1, 0, 0, 18)
Copyright	Windows	Unicode BMP	English (United States)	Copyright © 2011 - 2012 Linotype Corp., www.linotype.com. All rights reserved. This font software may not be reproduced, modified, disclosed or transferred without the express written approval of Linotype Corp. 	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Neue Haas Grotesk Text Pro	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Linotype GmbH:Neue Haas Grotesk Text Pro Roman:2012	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Neue Haas Grotesk Text Pro	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.05;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	NeueHaasGroteskTextPro	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Neue Haas Grotesk is a trademark of Monotype Imaging Inc. and may be registered in certain jurisdictions.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Linotype GmbH	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Christian Schwartz	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	Designed by Christian Schwartz 2004-2010. Originally designed 1957-1961 by Max Miedinger with art direction by Eduard Hoffmann. Released as Neue Haas Grotesk by the Haas'sche Schriftgiesserei, and then revised and released as Helvetica by Linotype AG. Revival originally commissioned in 2004 by Mark Porter at The Guardian. Completed in 2010 for Richard Turley at Bloomberg Businessweek. Thinnest weight designed by Berton Hasebe.	(3, 1, 1033, 10)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.linotype.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.linotype.com/fontdesigners	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	Microsoft supplied font. You may use this font to create, display, and print content as permitted by the license terms or terms of use, of the Microsoft product, service, or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://www.linotype.com/license	(3, 1, 1033, 14)
