NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Unicode	Unicode 2.0 and onwards semantics, Unicode BMP only ('cmap' subtable formats 0, 4, 6)	ID 0 is OK. No languages specified for Unicode platform.	Copyright 1981-1983, 1989,1993, 1998 Heidelberger Druckmaschinen AG. All rights reserved. The  digitally encoded machine readable outline data for producing the Typefaces licensed are the property of Heidelberger Druckmaschinen AG and/or its subsidiaries, represented by Linotype Library GmbH, Dupont Strasse 1, 61352 Bad Homburg Germany. Portions © 1996-1998 Microsoft Corporation. All Rights Reserved.	(0, 3, 0, 0)
Family Name	Unicode	Unicode 2.0 and onwards semantics, Unicode BMP only ('cmap' subtable formats 0, 4, 6)	ID 0 is OK. No languages specified for Unicode platform.	Palatino Linotype	(0, 3, 0, 1)
Subfamily Name	Unicode	Unicode 2.0 and onwards semantics, Unicode BMP only ('cmap' subtable formats 0, 4, 6)	ID 0 is OK. No languages specified for Unicode platform.	Italic	(0, 3, 0, 2)
Unique Font Identifier	Unicode	Unicode 2.0 and onwards semantics, Unicode BMP only ('cmap' subtable formats 0, 4, 6)	ID 0 is OK. No languages specified for Unicode platform.	Palatino Linotype Italic April 1998	(0, 3, 0, 3)
Full Font Name	Unicode	Unicode 2.0 and onwards semantics, Unicode BMP only ('cmap' subtable formats 0, 4, 6)	ID 0 is OK. No languages specified for Unicode platform.	Palatino Linotype Italic	(0, 3, 0, 4)
Version	Unicode	Unicode 2.0 and onwards semantics, Unicode BMP only ('cmap' subtable formats 0, 4, 6)	ID 0 is OK. No languages specified for Unicode platform.	Version 5.03;O365	(0, 3, 0, 5)
PostScript Name	Unicode	Unicode 2.0 and onwards semantics, Unicode BMP only ('cmap' subtable formats 0, 4, 6)	ID 0 is OK. No languages specified for Unicode platform.	PalatinoLinotype-Italic	(0, 3, 0, 6)
Trademark	Unicode	Unicode 2.0 and onwards semantics, Unicode BMP only ('cmap' subtable formats 0, 4, 6)	ID 0 is OK. No languages specified for Unicode platform.	Palatino® is a registered trademark of Heidelberger Druckmaschinen AG and its subsidiaries.	(0, 3, 0, 7)
Manufacturer	Unicode	Unicode 2.0 and onwards semantics, Unicode BMP only ('cmap' subtable formats 0, 4, 6)	ID 0 is OK. No languages specified for Unicode platform.	LINOTYPE-HELL AG	(0, 3, 0, 8)
Designer	Unicode	Unicode 2.0 and onwards semantics, Unicode BMP only ('cmap' subtable formats 0, 4, 6)	ID 0 is OK. No languages specified for Unicode platform.	Hermann Zapf	(0, 3, 0, 9)
Description	Unicode	Unicode 2.0 and onwards semantics, Unicode BMP only ('cmap' subtable formats 0, 4, 6)	ID 0 is OK. No languages specified for Unicode platform.	Palatino Linotype is the definitive new version of Hermann Zapf’s Palatino, which since its design in 1950 has become one of the world's most widely used typefaces. For this new digital version, Professor Zapf has drawn numerous additional characters to include an extensive range of ligatures, numerals, fractions and support for Cyrillic and both monotonic and polytonic Greek. Special care has been taken to enhance the quality of the letterforms when displayed on the computer screen, ensuring that Palatino Linotype is highly legible whether displayed on the screen or in print. This typeface is ideal for use in extended text settings such as books, periodicals and catalogs.	(0, 3, 0, 10)
License Text	Unicode	Unicode 2.0 and onwards semantics, Unicode BMP only ('cmap' subtable formats 0, 4, 6)	ID 0 is OK. No languages specified for Unicode platform.	Microsoft supplied font. You may use this font to create, display, and print content as permitted by the license terms or terms of use, of the Microsoft product, service, or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(0, 3, 0, 13)
Copyright	Macintosh	Roman	English	Copyright 1981-1983, 1989,1993, 1998 Heidelberger Druckmaschinen AG. All rights reserved. The  digitally encoded machine readable outline data for producing the Typefaces licensed are the property of Heidelberger Druckmaschinen AG and/or its subsidiaries, represented by Linotype Library GmbH, Dupont Strasse 1, 61352 Bad Homburg Germany. Portions © 1996-1998 Microsoft Corporation. All Rights Reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Palatino Linotype	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Italic	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Palatino Linotype Italic April 1998	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Palatino Linotype Italic	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 5.03;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	PalatinoLinotype-Italic	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Palatino® is a registered trademark of Heidelberger Druckmaschinen AG and its subsidiaries.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	LINOTYPE-HELL AG	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Hermann Zapf	(1, 0, 0, 9)
Description	Macintosh	Roman	English	Palatino Linotype is the definitive new version of Hermann Zapf’s Palatino, which since its design in 1950 has become one of the world's most widely used typefaces. For this new digital version, Professor Zapf has drawn numerous additional characters to include an extensive range of ligatures, numerals, fractions and support for Cyrillic and both monotonic and polytonic Greek. Special care has been taken to enhance the quality of the letterforms when displayed on the computer screen, ensuring that Palatino Linotype is highly legible whether displayed on the screen or in print. This typeface is ideal for use in extended text settings such as books, periodicals and catalogs.	(1, 0, 0, 10)
License Text	Macintosh	Roman	English	Microsoft supplied font. You may use this font to create, display, and print content as permitted by the license terms or terms of use, of the Microsoft product, service, or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(1, 0, 0, 13)
Subfamily Name	Windows	Unicode BMP	Catalan (Catalan)	Cursiva	(3, 1, 1027, 2)
