NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 1991-1998, Changzhou SinoType Technology Co., Ltd.  All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	STXihei	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	STXihei GBK TTF	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	STXihei	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.03;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	STXihei	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	STXihei and SinoType are trademarks of Changzhou SinoType Technology Co., Ltd.	(1, 0, 0, 7)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 1991-1998, Changzhou SinoType Technology Co., Ltd.  All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	STXihei	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	STXihei GBK TTF	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	STXihei	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.03;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	STXihei	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	STXihei and SinoType are trademarks of Changzhou SinoType Technology Co., Ltd.	(3, 1, 1033, 7)
License Text	Windows	Unicode BMP	English (United States)	Microsoft supplied font. You may use this font to create, display and print content as permitted by the license terms, or terms of use, of the Microsoft product, service or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(3, 1, 1033, 13)
Copyright	Windows	Unicode BMP	Chinese (People’s Republic of China)	Ｃｏｐｙｒｉｇｈｔ（ｃ）１９９１－１９９８，Ｃｈａｎｇｚｈｏｕ　ＳｉｎｏＴｙｐｅ　Ｔｅｃｈｎｏｌｏｇｙ　Ｃｏ．，Ｌｔｄ．　Ａｌｌ　ｒｉｇｈｔｓ　ｒｅｓｅｒｖｅｄ．　常州华文印刷新技术有限公司　版权所有　	(3, 1, 2052, 0)
Family Name	Windows	Unicode BMP	Chinese (People’s Republic of China)	华文细黑	(3, 1, 2052, 1)
Subfamily Name	Windows	Unicode BMP	Chinese (People’s Republic of China)	Regular	(3, 1, 2052, 2)
Unique Font Identifier	Windows	Unicode BMP	Chinese (People’s Republic of China)	华文细黑　ＧＢＫ　ＴＴＦ	(3, 1, 2052, 3)
Full Font Name	Windows	Unicode BMP	Chinese (People’s Republic of China)	华文细黑	(3, 1, 2052, 4)
Version	Windows	Unicode BMP	Chinese (People’s Republic of China)	Version 1.03;O365	(3, 1, 2052, 5)
PostScript Name	Windows	Unicode BMP	Chinese (People’s Republic of China)	ＳＴＸｉｈｅｉ	(3, 1, 2052, 6)
Trademark	Windows	Unicode BMP	Chinese (People’s Republic of China)	华文细黑、ＳｉｎｏＴｙｐｅ及华文字库是常州华文印刷新技术有限公司之商标。　	(3, 1, 2052, 7)
