NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright © 2002-2015, 2018 Monotype GmbH. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Sabon Next LT	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold Italic	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Monotype Imaging Inc - SabonNext LT Bold Italic: 2018	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Sabon Next LT Bold Italic	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.06;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	SabonNextLT-BoldItalic	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Sabon is a trademark of Monotype GmbH registered in the U.S. Patent and Trademark Office and may be registered in certain other jurisdictions.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Monotype Imaging Inc.	(1, 0, 0, 8)
Vendor URL	Macintosh	Roman	English	http://www.monotype.com	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://www.monotype.com	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	You may use this font as permitted by the EULA for the product in which this font is included to display and print content. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. This web font file is intended for use with the Microsoft Sway application only, and not for further use or distribution of any kind.	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://www.monotype.com	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright © 2002-2015, 2018 Monotype GmbH. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Sabon Next LT	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Monotype Imaging Inc - SabonNext LT Bold Italic: 2018	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Sabon Next LT Bold Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.06;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	SabonNextLT-BoldItalic	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Sabon is a trademark of Monotype GmbH registered in the U.S. Patent and Trademark Office and may be registered in certain other jurisdictions.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Monotype Imaging Inc.	(3, 1, 1033, 8)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.monotype.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.monotype.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	You may use this font as permitted by the EULA for the product in which this font is included to display and print content. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. This web font file is intended for use with the Microsoft Sway application only, and not for further use or distribution of any kind.	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://www.monotype.com	(3, 1, 1033, 14)
