NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	© 2016 The Monotype Corporation. Portions © Monotype Imaging. All Rights Reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Simplified Arabic	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Simplified Arabic Bold	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Simplified Arabic Bold	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 6.96;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	SimplifiedArabic-Bold	(1, 0, 0, 6)
License Text	Macintosh	Roman	English	Microsoft supplied font. You may use this font to create, display, and print content as permitted by the license terms or terms of use, of the Microsoft product, service, or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(1, 0, 0, 13)
Subfamily Name	Windows	Unicode BMP	Catalan (Catalan)	Negreta	(3, 1, 1027, 2)
Full Font Name	Windows	Unicode BMP	Catalan (Catalan)	Simplified Arabic Negreta	(3, 1, 1027, 4)
Subfamily Name	Windows	Unicode BMP	Czech (Czech Republic)	tučné	(3, 1, 1029, 2)
Full Font Name	Windows	Unicode BMP	Czech (Czech Republic)	Simplified Arabic tučné	(3, 1, 1029, 4)
Subfamily Name	Windows	Unicode BMP	Danish (Denmark)	fed	(3, 1, 1030, 2)
Full Font Name	Windows	Unicode BMP	Danish (Denmark)	Simplified Arabic fed	(3, 1, 1030, 4)
Subfamily Name	Windows	Unicode BMP	German (Germany)	Fett	(3, 1, 1031, 2)
Full Font Name	Windows	Unicode BMP	German (Germany)	Simplified Arabic Fett	(3, 1, 1031, 4)
Subfamily Name	Windows	Unicode BMP	Greek (Greece)	Έντονα	(3, 1, 1032, 2)
Full Font Name	Windows	Unicode BMP	Greek (Greece)	Simplified Arabic Έντονα	(3, 1, 1032, 4)
Copyright	Windows	Unicode BMP	English (United States)	© 2016 The Monotype Corporation. Portions © Monotype Imaging. All Rights Reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Simplified Arabic	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Simplified Arabic Bold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Simplified Arabic Bold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 6.96;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	SimplifiedArabic-Bold	(3, 1, 1033, 6)
License Text	Windows	Unicode BMP	English (United States)	Microsoft supplied font. You may use this font to create, display, and print content as permitted by the license terms or terms of use, of the Microsoft product, service, or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(3, 1, 1033, 13)
