NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2013-2017 by Julien Saurin and Fanny Coulez. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	The Hand Light	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	JulienSaurinandFannyCoulez: The Hand Light: 2013	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	The Hand Light	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.01;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	TheHandLight	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	The Hand is a trademark of Julien Saurin and Fanny Coulez.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Julien Saurin and Fanny Coulez	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Julien Saurin & Fanny Coulez	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://www.myfonts.com/foundry/La_Goupil/	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://www.myfonts.com/foundry/La_Goupil/	(1, 0, 0, 12)
Typographic Family Name	Macintosh	Roman	English	The Hand	(1, 0, 0, 16)
Typographic Subfamily Name	Macintosh	Roman	English	Light	(1, 0, 0, 17)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2013-2017 by Julien Saurin and Fanny Coulez. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	The Hand Light	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	JulienSaurinandFannyCoulez: The Hand Light: 2013	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	The Hand Light	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.01;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	TheHandLight	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	The Hand is a trademark of Julien Saurin and Fanny Coulez.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Julien Saurin and Fanny Coulez	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Julien Saurin & Fanny Coulez	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.myfonts.com/foundry/La_Goupil/	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.myfonts.com/foundry/La_Goupil/	(3, 1, 1033, 12)
Typographic Family Name	Windows	Unicode BMP	English (United States)	The Hand	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Light	(3, 1, 1033, 17)
