NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	2009, 2015 Mitja Miklavcic published by FSI FontShop International GmbH	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Tisa Offc Serif Pro	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Mitja Miklavcic: Tisa Offc Pro: 2009	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Tisa Offc Serif Pro	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 7.52;O365	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	TisaOffcSerifPro	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Tisa is a trademark of FSI FontShop International GmbH	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Monotype Imaging Inc.	(1, 0, 0, 8)
Vendor URL	Macintosh	Roman	English	http://www.monotype.com	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://www.monotype.com	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This font software is the property of Monotype Imaging Inc., or one of its affiliated entities (collectively, Monotype) and its use by you is covered under the terms of a license agreement. You have obtained this font software either directly from Monotype or together with software distributed by one of the licensees of Monotype. This software is a valuable asset of Monotype. Unless you have entered into a specific license agreement granting you additional rights, your use of this software is limited by the terms of the actual license agreement you have entered into with Monotype. You may not copy or distribute this software. If you have any questions concerning your rights you should review the license agreement you received with the software.  You can learn more about Monotype here:  www.monotype.com 	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://www.monotype.com	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	2009, 2015 Mitja Miklavcic published by FSI FontShop International GmbH	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Tisa Offc Serif Pro	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Mitja Miklavcic: Tisa Offc Pro: 2009	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Tisa Offc Serif Pro	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 7.52;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	TisaOffcSerifPro	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Tisa is a trademark of FSI FontShop International GmbH	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Monotype Imaging Inc.	(3, 1, 1033, 8)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.monotype.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.monotype.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This font software is the property of Monotype Imaging Inc., or one of its affiliated entities (collectively, Monotype) and its use by you is covered under the terms of a license agreement. You have obtained this font software either directly from Monotype or together with software distributed by one of the licensees of Monotype. This software is a valuable asset of Monotype. Unless you have entered into a specific license agreement granting you additional rights, your use of this software is limited by the terms of the actual license agreement you have entered into with Monotype. You may not copy or distribute this software. If you have any questions concerning your rights you should review the license agreement you received with the software.  You can learn more about Monotype here:  www.monotype.com  	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://www.monotype.com	(3, 1, 1033, 14)
