NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright © 2014 Monotype GmbH. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Univers Light	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Monotype Imaging Inc. - LT Univers Light Build 1000	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Univers Light	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 3.00;FS	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Univers-Light	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Univers is a trademark of Monotype GmbH registered in the U.S. Patent and Trademark Office and may be registered in certain other jurisdictions.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Monotype Imaging Inc.	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Adrian Frutiger	(3, 1, 1033, 9)
License Text	Windows	Unicode BMP	English (United States)	This font software is the property of Monotype Imaging Inc., or one of its affiliated entities (collectively, Monotype) and its use by you is covered under the terms of a license agreement. You have obtained this font software either directly from Monotype or together with software distributed by one of the licensees of Monotype. This software is a valuable asset of Monotype. Unless you have entered into a specific license agreement granting you additional rights, your use of this software is limited by the terms of the actual license agreement you have entered into with Monotype. You may not copy or distribute this software. If you have any questions concerning your rights you should review the license agreement you received with the software.  You can learn more about Monotype here:  www.monotype.com	(3, 1, 1033, 13)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Univers	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Light	(3, 1, 1033, 17)
