NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Unicode	Unicode 2.0 and onwards semantics, Unicode BMP only ('cmap' subtable formats 0, 4, 6)	ID 0 is OK. No languages specified for Unicode platform.	Wingdings 3 designed by Bigelow & Holmes Inc. for Microsoft Corporation. Copyright © 1992 Microsoft Corporation. Pat. pend. All Rights Reserved. © 1990-1991 Type Solutions, Inc. All Rights 	(0, 3, 0, 0)
Family Name	Unicode	Unicode 2.0 and onwards semantics, Unicode BMP only ('cmap' subtable formats 0, 4, 6)	ID 0 is OK. No languages specified for Unicode platform.	Wingdings 3	(0, 3, 0, 1)
Subfamily Name	Unicode	Unicode 2.0 and onwards semantics, Unicode BMP only ('cmap' subtable formats 0, 4, 6)	ID 0 is OK. No languages specified for Unicode platform.	Regular	(0, 3, 0, 2)
Unique Font Identifier	Unicode	Unicode 2.0 and onwards semantics, Unicode BMP only ('cmap' subtable formats 0, 4, 6)	ID 0 is OK. No languages specified for Unicode platform.	Wingdings 3	(0, 3, 0, 3)
Full Font Name	Unicode	Unicode 2.0 and onwards semantics, Unicode BMP only ('cmap' subtable formats 0, 4, 6)	ID 0 is OK. No languages specified for Unicode platform.	Wingdings 3	(0, 3, 0, 4)
Version	Unicode	Unicode 2.0 and onwards semantics, Unicode BMP only ('cmap' subtable formats 0, 4, 6)	ID 0 is OK. No languages specified for Unicode platform.	Version 5.03	(0, 3, 0, 5)
PostScript Name	Unicode	Unicode 2.0 and onwards semantics, Unicode BMP only ('cmap' subtable formats 0, 4, 6)	ID 0 is OK. No languages specified for Unicode platform.	Wingdings3	(0, 3, 0, 6)
Trademark	Unicode	Unicode 2.0 and onwards semantics, Unicode BMP only ('cmap' subtable formats 0, 4, 6)	ID 0 is OK. No languages specified for Unicode platform.	Wingdings is a trademark of Microsoft Corporation.	(0, 3, 0, 7)
Copyright	Macintosh	Roman	English	Wingdings 3 designed by Bigelow & Holmes Inc. for Microsoft Corporation. Copyright © 1992 Microsoft Corporation. Pat. pend. All Rights Reserved. © 1990-1991 Type Solutions, Inc. All Rights Reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Wingdings 3	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Wingdings 3	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Wingdings 3	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 5.03	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Wingdings3	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Wingdings is a trademark of Microsoft Corporation.	(1, 0, 0, 7)
License Text	Macintosh	Roman	English	Microsoft supplied font. You may use this font to create, display and print content as permitted by the license terms, or terms of use, of the Microsoft product, service or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(1, 0, 0, 13)
Subfamily Name	Windows	Symbol	Danish (Denmark)	normal	(3, 0, 1030, 2)
Subfamily Name	Windows	Symbol	German (Germany)	Standard	(3, 0, 1031, 2)
Copyright	Windows	Symbol	English (United States)	Wingdings 3 designed by Bigelow & Holmes Inc. for Microsoft Corporation. Copyright © 1992 Microsoft Corporation. Pat. pend. All Rights Reserved. © 1990-1991 Type Solutions, Inc. All Rights Reserved.	(3, 0, 1033, 0)
Family Name	Windows	Symbol	English (United States)	Wingdings 3	(3, 0, 1033, 1)
Subfamily Name	Windows	Symbol	English (United States)	Regular	(3, 0, 1033, 2)
Unique Font Identifier	Windows	Symbol	English (United States)	Wingdings 3	(3, 0, 1033, 3)
Full Font Name	Windows	Symbol	English (United States)	Wingdings 3	(3, 0, 1033, 4)
Version	Windows	Symbol	English (United States)	Version 5.03	(3, 0, 1033, 5)
PostScript Name	Windows	Symbol	English (United States)	Wingdings3	(3, 0, 1033, 6)
Trademark	Windows	Symbol	English (United States)	Wingdings is a trademark of Microsoft Corporation.	(3, 0, 1033, 7)
License Text	Windows	Symbol	English (United States)	Microsoft supplied font. You may use this font to create, display and print content as permitted by the license terms, or terms of use, of the Microsoft product, service or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(3, 0, 1033, 13)
Subfamily Name	Windows	Symbol	Spanish (Traditional Sort) (Spain)	Normal	(3, 0, 1034, 2)
Subfamily Name	Windows	Symbol	Finnish (Finland)	Normaali	(3, 0, 1035, 2)
Subfamily Name	Windows	Symbol	French (France)	Normal	(3, 0, 1036, 2)
Subfamily Name	Windows	Symbol	Italian (Italy)	Normale	(3, 0, 1040, 2)
Subfamily Name	Windows	Symbol	Dutch (Netherlands)	Standaard	(3, 0, 1043, 2)
Subfamily Name	Windows	Symbol	Norwegian (Bokmal) (Norway)	Normal	(3, 0, 1044, 2)
Subfamily Name	Windows	Symbol	Swedish (Sweden)	Normal	(3, 0, 1053, 2)
Subfamily Name	Windows	Symbol	Portuguese (Portugal)	Normal	(3, 0, 2070, 2)
Subfamily Name	Windows	Symbol	Spanish (Modern Sort) (Spain)	Normal	(3, 0, 3082, 2)
Subfamily Name	Windows	Symbol	French (Canada)	Normal	(3, 0, 3084, 2)
