NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright © 2017 JIYUKOBO Ltd. All Rights Reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Yu Mincho	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	YuMincho-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Yu Mincho Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.90;O365	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	YuMincho-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Yu Type Library is a Trademark of JIYUKOBO Ltd. registered in Japan.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	JIYUKOBO Ltd.	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	JIYUKOBO Ltd.	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.jiyu-kobo.co.jp/	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.jiyu-kobo.co.jp/	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	Microsoft supplied font. You may use this font to create, display, and print content as permitted by the license terms or terms of use, of the Microsoft product, service, or content in which this font was included. You may only (i) embed this font in content as permitted by the embedding restrictions included in this font; and (ii) temporarily download this font to a printer or other output device to help print content. Any other use is prohibited.	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://www.jiyu-kobo.co.jp/	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Yu Mincho	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 17)
Copyright	Windows	Unicode BMP	Japanese (Japan)	Copyright © 2017 有限会社字游工房 All Rights Reserved.	(3, 1, 1041, 0)
Family Name	Windows	Unicode BMP	Japanese (Japan)	游明朝	(3, 1, 1041, 1)
Subfamily Name	Windows	Unicode BMP	Japanese (Japan)	Regular	(3, 1, 1041, 2)
Full Font Name	Windows	Unicode BMP	Japanese (Japan)	游明朝 Regular	(3, 1, 1041, 4)
Trademark	Windows	Unicode BMP	Japanese (Japan)	游書体ライブラリーは有限会社字游工房の登録商標です	(3, 1, 1041, 7)
Manufacturer	Windows	Unicode BMP	Japanese (Japan)	有限会社字游工房	(3, 1, 1041, 8)
Designer	Windows	Unicode BMP	Japanese (Japan)	有限会社字游工房	(3, 1, 1041, 9)
Typographic Family Name	Windows	Unicode BMP	Japanese (Japan)	游明朝	(3, 1, 1041, 16)
Typographic Subfamily Name	Windows	Unicode BMP	Japanese (Japan)	Regular	(3, 1, 1041, 17)
