NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	MS	BMP	English (U.S.)	Copyright 2015 The Akaya Kanadaka Project Authors (https://github.com/vaishnavimurthy/Akaya-Kanadaka)	(3, 1, 1033, 0)
Family	MS	BMP	English (U.S.)	Akaya Kanadaka	(3, 1, 1033, 1)
Subfamily	MS	BMP	English (U.S.)	Regular	(3, 1, 1033, 2)
Unique ID	MS	BMP	English (U.S.)	1.002;NONE;AkayaKanadaka-Regular	(3, 1, 1033, 3)
Full Name	MS	BMP	English (U.S.)	Akaya Kanadaka Regular	(3, 1, 1033, 4)
Version	MS	BMP	English (U.S.)	Version 1.002; ttfautohint (v1.8.3)	(3, 1, 1033, 5)
Postscript	MS	BMP	English (U.S.)	AkayaKanadaka-Regular	(3, 1, 1033, 6)
Designer	MS	BMP	English (U.S.)	Vaishnavi Murthy Yerkadithaya, Juan Luis Blanco Aristondo	(3, 1, 1033, 9)
License Description	MS	BMP	English (U.S.)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License Info URL	MS	BMP	English (U.S.)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
