NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2012 by Hagilda. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Alef	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.002;UKWN;Alef-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Alef Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.002;PS 001.002;hotconv 1.0.56;makeotf.lib2.0.21325	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Alef-Regular	(1, 0, 0, 6)
Designer	Macintosh	Roman	English	Hagilda Tel Aviv	(1, 0, 0, 9)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2012 by Hagilda. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Alef	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.002;UKWN;Alef-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Alef Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.002;PS 001.002;hotconv 1.0.56;makeotf.lib2.0.21325	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Alef-Regular	(3, 1, 1033, 6)
Designer	Windows	Unicode BMP	English (United States)	Hagilda Tel Aviv	(3, 1, 1033, 9)
