NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2012 by Hagilda. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Alef	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.001;UKWN;Alef-Bold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Alef Bold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.001;PS 001.001;hotconv 1.0.56;makeotf.lib2.0.21325	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Alef-Bold	(3, 1, 1033, 6)
Designer	Windows	Unicode BMP	English (United States)	Hagilda Tel Aviv	(3, 1, 1033, 9)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Alef	(3, 1, 1033, 16)
Name ID [200]	Windows	Unicode BMP	English (United States)	Webfont 1.0	(3, 1, 1033, 200)
Name ID [201]	Windows	Unicode BMP	English (United States)	Wed Mar 20 10:49:13 2013	(3, 1, 1033, 201)
