NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2019 by Almarai. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Almarai	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.000;1BOU:Almarai-Bold	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Almarai Bold	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.10	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Almarai-Bold	(1, 0, 0, 6)
Manufacturer	Macintosh	Roman	English	Created by Boutros International 2019	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Boutros International 2019	(1, 0, 0, 9)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Typographic Family Name	Macintosh	Roman	English	Almarai	(1, 0, 0, 16)
Typographic Subfamily Name	Macintosh	Roman	English	Bold	(1, 0, 0, 17)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2019 by Almarai. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Almarai Bold	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.000;1BOU:Almarai-Bold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Almarai Bold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.10	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Almarai-Bold	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Created by Boutros International 2019	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Boutros International 2019	(3, 1, 1033, 9)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Almarai	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 17)
