NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2011-2012, Ana Sanfelippo (anasanfe@gmail.com), with Reserved Font Name 'Almendra'	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Almendra Display	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.004;UKWN;AlmendraDisplay-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Almendra Display Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.004	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	AlmendraDisplay-Regular	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Almendra is a trademark of Ana Sanfelippo.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Ana Sanfelippo	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Ana Sanfelippo	(1, 0, 0, 9)
Designer URL	Macintosh	Roman	English	www.anasanfelippo.com.ar	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2011-2012, Ana Sanfelippo (anasanfe@gmail.com), with Reserved Font Name 'Almendra'	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Almendra Display	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.004;UKWN;AlmendraDisplay-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Almendra Display Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.004	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	AlmendraDisplay-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Almendra is a trademark of Ana Sanfelippo.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Ana Sanfelippo	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Ana Sanfelippo	(3, 1, 1033, 9)
Designer URL	Windows	Unicode BMP	English (United States)	www.anasanfelippo.com.ar	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
