NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2010-2020 The Amiri Project Authors (https://github.com/alif-type/amiri).	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Amiri	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	0.113;ALIF;Amiri-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Amiri Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 0.113	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Amiri-Regular	(3, 1, 1033, 6)
Designer	Windows	Unicode BMP	English (United States)	Khaled Hosny	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	Amiri is a classical Arabic typeface in Naskh style for typesetting books and other running text. Its design is a revival of the beautiful typeface pioneered in early 20th century by Bulaq Press in Cairo, also known as Amiria Press, after which the font is named.	(3, 1, 1033, 10)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.amirifont.org	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.amirifont.org	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	https://scripts.sil.org/OFL	(3, 1, 1033, 14)
Sample Text	Windows	Unicode BMP	English (United States)	صِفْ خَلْقَ خَوْدٍ كَمِثْلِ ٱلشَّمْسِ إِذْ بَزَغَتْ يَحْظَىٰ ٱلضَّجِيعُ بِهَا نَجْلَاءَ مِعْطَارِ.	(3, 1, 1033, 19)
Name ID [256]	Windows	Unicode BMP	English (United States)	Inverted Arabic comma	(3, 1, 1033, 256)
Name ID [257]	Windows	Unicode BMP	English (United States)	Disable curvilinear Kashida	(3, 1, 1033, 257)
Name ID [258]	Windows	Unicode BMP	English (United States)	No automatic vowel insertion above name of God	(3, 1, 1033, 258)
Name ID [259]	Windows	Unicode BMP	English (United States)	Low Baa dot following a Raa or Waw	(3, 1, 1033, 259)
Name ID [260]	Windows	Unicode BMP	English (United States)	Alternate medial Meem and final Alef combination	(3, 1, 1033, 260)
Name ID [261]	Windows	Unicode BMP	English (United States)	Localised @ and & symbols	(3, 1, 1033, 261)
Name ID [262]	Windows	Unicode BMP	English (United States)	Alternate, more naskh-like, Gaf form	(3, 1, 1033, 262)
Name ID [263]	Windows	Unicode BMP	English (United States)	Kasra is placed below Shadda instead of base glyph	(3, 1, 1033, 263)
