NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2010, Danh Hong (khmertype.blogspot.com),  with Reserved Font Name Angkor.  This Font Software is licensed under the SIL Open Font License, Version 1.1.  This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Angkor	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	3.10;UKWN;Angkor-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Angkor Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 3.10 December 28, 2010	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Angkor-Regular	(1, 0, 0, 6)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2010, Danh Hong (khmertype.blogspot.com),  with Reserved Font Name Angkor.  This Font Software is licensed under the SIL Open Font License, Version 1.1.  This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Angkor	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	3.10;UKWN;Angkor-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Angkor Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 3.10 December 28, 2010	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Angkor-Regular	(3, 1, 1033, 6)
