NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Mac	Roman	English	Copyright 2020 The Aoboshi Font Project Authors (https://github.com/matsuba723/Aoboshi), all rights reserved.	(1, 0, 0, 0)
Family	Mac	Roman	English	Aoboshi One	(1, 0, 0, 1)
Subfamily	Mac	Roman	English	Regular	(1, 0, 0, 2)
Unique ID	Mac	Roman	English	1.000;IKMJ;AoboshiOne-Regular	(1, 0, 0, 3)
Full Name	Mac	Roman	English	Aoboshi One Regular	(1, 0, 0, 4)
Version	Mac	Roman	English	Version 1.000; ttfautohint (v1.8.3)	(1, 0, 0, 5)
Postscript	Mac	Roman	English	AoboshiOne-Regular	(1, 0, 0, 6)
Manufacturer	Mac	Roman	English	Natsumi Matsuba	(1, 0, 0, 8)
Designer	Mac	Roman	English	IKIMOJI	(1, 0, 0, 9)
License Description	Mac	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL	(1, 0, 0, 13)
License Info URL	Mac	Roman	English	https://scripts.sil.org/OFL	(1, 0, 0, 14)
Family	Mac	Japanese	Japanese	あおぼし One	(1, 1, 11, 1)
Subfamily	Mac	Japanese	Japanese	Regular	(1, 1, 11, 2)
Copyright	MS	BMP	English (U.S.)	Copyright 2020 The Aoboshi Font Project Authors (https://github.com/matsuba723/Aoboshi), all rights reserved.	(3, 1, 1033, 0)
Family	MS	BMP	English (U.S.)	Aoboshi One	(3, 1, 1033, 1)
Subfamily	MS	BMP	English (U.S.)	Regular	(3, 1, 1033, 2)
Unique ID	MS	BMP	English (U.S.)	1.000;IKMJ;AoboshiOne-Regular	(3, 1, 1033, 3)
Full Name	MS	BMP	English (U.S.)	Aoboshi One Regular	(3, 1, 1033, 4)
Version	MS	BMP	English (U.S.)	Version 1.000; ttfautohint (v1.8.3)	(3, 1, 1033, 5)
Postscript	MS	BMP	English (U.S.)	AoboshiOne-Regular	(3, 1, 1033, 6)
Manufacturer	MS	BMP	English (U.S.)	Natsumi Matsuba	(3, 1, 1033, 8)
Designer	MS	BMP	English (U.S.)	IKIMOJI	(3, 1, 1033, 9)
License Description	MS	BMP	English (U.S.)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL	(3, 1, 1033, 13)
License Info URL	MS	BMP	English (U.S.)	https://scripts.sil.org/OFL	(3, 1, 1033, 14)
Family	MS	BMP	Japanese	あおぼし One	(3, 1, 1041, 1)
Subfamily	MS	BMP	Japanese	Regular	(3, 1, 1041, 2)
