NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2014-2015, Sorkin Type Co (sorkintype.com | sorkintype@gmail.com). Copyright 2014 Pria Ravichandran (pria.ravichandran@gmail.com)	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Asar	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.003;UKWN;Asar-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Asar Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.003; ttfautohint (v1.3) -l 8 -r 50 -G 0 -x 0 -H 45 -D deva -f latn -m "" -w gG -t -X ""	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Asar-Regular	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Asar is a trademark of Sorkin Type Co	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Eben Sorkin, Pria Ravichandran	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Eben Sorkin	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	sorkintype.com	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	sorkintype.com	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	Licenced under the SIL Open Font License, Version 1.1, available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2014-2015, Sorkin Type Co (sorkintype.com | sorkintype@gmail.com). Copyright 2014 Pria Ravichandran (pria.ravichandran@gmail.com)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Asar	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.003;UKWN;Asar-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Asar Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.003; ttfautohint (v1.3) -l 8 -r 50 -G 0 -x 0 -H 45 -D deva -f latn -m "" -w gG -t -X ""	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Asar-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Asar is a trademark of Sorkin Type Co	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Eben Sorkin, Pria Ravichandran	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Eben Sorkin	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	sorkintype.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	sorkintype.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	Licenced under the SIL Open Font License, Version 1.1, available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
