NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright 2010 The Amirim Project Authors, with Reserved Font Name 'Source'. Source is a trademark of Adobe Systems Incorporated in the United States and/or other countries.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Assistant	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	ExtraLight	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	2.002;HFNT;Assistant-ExtraLight	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Assistant ExtraLight	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 2.002	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Assistant-ExtraLight	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Source is a trademark of Adobe Systems Incorporated in the United States and/or other countries.	(1, 0, 0, 7)
Designer	Macintosh	Roman	English	Hebrew By Ben Nathan, Latin by Paul Hunt	(1, 0, 0, 9)
Designer URL	Macintosh	Roman	English	hafontia.com	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2010 The Amirim Project Authors, with Reserved Font Name 'Source'. Source is a trademark of Adobe Systems Incorporated in the United States and/or other countries.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Assistant ExtraLight	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	2.002;HFNT;Assistant-ExtraLight	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Assistant ExtraLight	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.002	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Assistant-ExtraLight	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Source is a trademark of Adobe Systems Incorporated in the United States and/or other countries.	(3, 1, 1033, 7)
Designer	Windows	Unicode BMP	English (United States)	Hebrew By Ben Nathan, Latin by Paul Hunt	(3, 1, 1033, 9)
Designer URL	Windows	Unicode BMP	English (United States)	hafontia.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Assistant	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	ExtraLight	(3, 1, 1033, 17)
