NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	MS	BMP	English (U.S.)	Copyright 2020 The Assistant Project Authors (https://github.com/hafontia/Assistant). Copyright 2010 The Source Sans Pro Authors (https://github.com/adobe-fonts/source-sans-pro), with Reserved Font Name 'Source'. Source is a trademark of Adobe Systems Incorporated in the United States and/or other countries.	(3, 1, 1033, 0)
Family	MS	BMP	English (U.S.)	Assistant SemiBold	(3, 1, 1033, 1)
Subfamily	MS	BMP	English (U.S.)	Regular	(3, 1, 1033, 2)
Unique ID	MS	BMP	English (U.S.)	3.000;HFNT;Assistant-SemiBold	(3, 1, 1033, 3)
Full Name	MS	BMP	English (U.S.)	Assistant SemiBold	(3, 1, 1033, 4)
Version	MS	BMP	English (U.S.)	Version 3.000	(3, 1, 1033, 5)
Postscript	MS	BMP	English (U.S.)	Assistant-SemiBold	(3, 1, 1033, 6)
Trademark	MS	BMP	English (U.S.)	Source is a trademark of Adobe Systems Incorporated in the United States and/or other countries.	(3, 1, 1033, 7)
Designer	MS	BMP	English (U.S.)	Hebrew By Ben Nathan, Latin by Paul Hunt	(3, 1, 1033, 9)
URL Designer	MS	BMP	English (U.S.)	hafontia.com	(3, 1, 1033, 12)
License Description	MS	BMP	English (U.S.)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License Info URL	MS	BMP	English (U.S.)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family name	MS	BMP	English (U.S.)	Assistant	(3, 1, 1033, 16)
Typographic Subfamily name	MS	BMP	English (U.S.)	SemiBold	(3, 1, 1033, 17)
