NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright 2011 The Balsamiq Sans Project Authors (https://github.com/balsamiq/balsamiqsans)	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Balsamiq Sans	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold Italic	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.010;2ttf;BalsamiqSans-BoldItalic	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Balsamiq Sans Bold Italic	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.010	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	BalsamiqSans-BoldItalic	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Balsamiq Sans is a trademark of Balsamiq SRL.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Balsamiq SRL	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Michael Angeles	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://balsamiq.com	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://balsamiq.com	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	https://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2011 The Balsamiq Sans Project Authors (https://github.com/balsamiq/balsamiqsans)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Balsamiq Sans	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.010;2ttf;BalsamiqSans-BoldItalic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Balsamiq Sans Bold Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.010	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	BalsamiqSans-BoldItalic	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Balsamiq Sans is a trademark of Balsamiq SRL.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Balsamiq SRL	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Michael Angeles	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://balsamiq.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://balsamiq.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	https://scripts.sil.org/OFL	(3, 1, 1033, 14)
