NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2013, Danh Hong (khmertype.org)	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Battambang	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	2.00;UKWN;Battambang-Bold	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Battambang Bold	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 2.00 February 6, 2013	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Battambang-Bold	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Battambang is a trademark of Danh Hong and may be registered in certain jurisdictions.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Danh Hong	(1, 0, 0, 8)
Vendor URL	Macintosh	Roman	English	http://khmertype.blogspot.com/	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://khmertype.blogspot.com/	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	Licensed under the Apache License, Version 2.0	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://www.apache.org/licenses/LICENSE-2.0	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2013, Danh Hong (khmertype.org)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Battambang	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	2.00;UKWN;Battambang-Bold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Battambang Bold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.00 February 6, 2013	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Battambang-Bold	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Battambang is a trademark of Danh Hong and may be registered in certain jurisdictions.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Danh Hong	(3, 1, 1033, 8)
Vendor URL	Windows	Unicode BMP	English (United States)	http://khmertype.blogspot.com/	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://khmertype.blogspot.com/	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	Licensed under the Apache License, Version 2.0	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://www.apache.org/licenses/LICENSE-2.0	(3, 1, 1033, 14)
