NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright 2019 The Beth Ellen Project Authors (https://github.com/googlefonts/BethEllen)	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Beth Ellen	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	FontForge : Beth Ellen Regular : 10-5-2019	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Beth Ellen Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 2.000	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	BethEllen-Regular	(1, 0, 0, 6)
Designer	Macintosh	Roman	English	Alyson Diaz	(1, 0, 0, 9)
Designer URL	Macintosh	Roman	English	robjelinskistudios.com	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2019 The Beth Ellen Project Authors (https://github.com/googlefonts/BethEllen)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Beth Ellen	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	FontForge : Beth Ellen Regular : 10-5-2019	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Beth Ellen Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.000	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	BethEllen-Regular	(3, 1, 1033, 6)
Designer	Windows	Unicode BMP	English (United States)	Alyson Diaz	(3, 1, 1033, 9)
Designer URL	Windows	Unicode BMP	English (United States)	robjelinskistudios.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
