NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2019 The Bevietnam Project Authors (https://github.com/bettergui/beVietnam)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Be Vietnam SemiBold	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	3.000;UKWN;BeVietnam-SemiBoldItalic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Be Vietnam SemiBold Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 3.000	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	BeVietnam-SemiBoldItalic	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	TypeRant	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Gabriel Lam	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	facebook.com/typerant	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	be.net/bygabriel	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Be Vietnam	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	SemiBold Italic	(3, 1, 1033, 17)
