NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2014 - Matt Heximer (www.10fourdesign.com) based on Latin "Bellota" by Kemie Guaida (www.pixilate.com),  which is in turn based on "Snippet" by Gesine Todt.  Licensed under the SIL Open Font License 1.1 This license is available with a FAQ at: http://scripts.sil.org/OFL (see file OFL.txt)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Bhavuka	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	FontForge : Bhavuka : 2-10-2014	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Bhavuka Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	2.94.0; ttfautohint (v1.2) -l 7 -r 28 -G 50 -x 13 -D deva -f deva -w G -X ""	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Bhavuka-Regular	(3, 1, 1033, 6)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at http://scripts.sil.org/OFL 	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL 	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Bhavuka	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 17)
Compatible Full Name	Windows	Unicode BMP	English (United States)	Bhavuka Regular	(3, 1, 1033, 18)
