NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2019 The Big Shoulders Project Authors (https://github.com/xotypeco/big_shoulders)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Big Shoulders Text ExtraBold	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.100;HoP;BigShouldersText-ExtraBold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Big Shoulders Text ExtraBold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.100	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	BigShouldersText-ExtraBold	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	XO Type Co	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Patric King	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://xotype.co	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://houseofpretty.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	https://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Big Shoulders Text	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	ExtraBold	(3, 1, 1033, 17)
