NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Variations PostScript Name Prefix	Macintosh	Roman	English	BitterRoman	(1, 0, 0, 25)
Name ID [256]	Macintosh	Roman	English	Weight	(1, 0, 0, 256)
Name ID [257]	Macintosh	Roman	English	Thin	(1, 0, 0, 257)
Name ID [258]	Macintosh	Roman	English	ExtraLight	(1, 0, 0, 258)
Name ID [259]	Macintosh	Roman	English	Light	(1, 0, 0, 259)
Name ID [260]	Macintosh	Roman	English	Regular	(1, 0, 0, 260)
Name ID [261]	Macintosh	Roman	English	Medium	(1, 0, 0, 261)
Name ID [262]	Macintosh	Roman	English	SemiBold	(1, 0, 0, 262)
Name ID [263]	Macintosh	Roman	English	Bold	(1, 0, 0, 263)
Name ID [264]	Macintosh	Roman	English	ExtraBold	(1, 0, 0, 264)
Name ID [265]	Macintosh	Roman	English	Black	(1, 0, 0, 265)
Name ID [268]	Macintosh	Roman	English	BitterRoman-Thin	(1, 0, 0, 268)
Name ID [269]	Macintosh	Roman	English	BitterRoman-ExtraLight	(1, 0, 0, 269)
Name ID [270]	Macintosh	Roman	English	BitterRoman-Light	(1, 0, 0, 270)
Name ID [271]	Macintosh	Roman	English	BitterRoman-Regular	(1, 0, 0, 271)
Name ID [272]	Macintosh	Roman	English	BitterRoman-Medium	(1, 0, 0, 272)
Name ID [273]	Macintosh	Roman	English	BitterRoman-SemiBold	(1, 0, 0, 273)
Name ID [274]	Macintosh	Roman	English	BitterRoman-Bold	(1, 0, 0, 274)
Name ID [275]	Macintosh	Roman	English	BitterRoman-ExtraBold	(1, 0, 0, 275)
Name ID [276]	Macintosh	Roman	English	BitterRoman-Black	(1, 0, 0, 276)
Name ID [277]	Macintosh	Roman	English	Italic	(1, 0, 0, 277)
Name ID [278]	Macintosh	Roman	English	Roman	(1, 0, 0, 278)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2011 The Bitter Project Authors (https://github.com/solmatas/BitterPro)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Bitter Thin	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	2.001;NONE;Bitter-Thin	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Bitter Thin	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.001	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Bitter-Thin	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Bitter is a trademark of Sol Matas (www.solmatas.com).	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Sol Matas	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Sol Matas, and Bitter project Authors	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	https://www.solmatas.com/	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	https://www.solmatas.com/	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
