NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	(c) ZESSTYPE 2015	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Black Han Sans	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.00;UKWN;BlackHanSans-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Black Han Sans Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.00	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	BlackHanSans-Regular	(1, 0, 0, 6)
Manufacturer	Macintosh	Roman	English	ZESSTYPE	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	ZESSTYPE	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://zesstype.com/	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://zesstype.com/	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	(c) ZESSTYPE 2015	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Black Han Sans	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.00;UKWN;BlackHanSans-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Black Han Sans Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.00	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	BlackHanSans-Regular	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	ZESSTYPE	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	ZESSTYPE	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://zesstype.com/	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://zesstype.com/	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Family Name	Windows	Unicode BMP	Korean (Korea)	검은고딕	(3, 1, 1042, 1)
Subfamily Name	Windows	Unicode BMP	Korean (Korea)	Regular	(3, 1, 1042, 2)
Unique Font Identifier	Windows	Unicode BMP	Korean (Korea)	ZESSTYPE; 검은고딕	(3, 1, 1042, 3)
Full Font Name	Windows	Unicode BMP	Korean (Korea)	검은고딕 Regular	(3, 1, 1042, 4)
PostScript Name	Windows	Unicode BMP	Korean (Korea)	검은고딕-Regular	(3, 1, 1042, 6)
