NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright 2019 the Blinker project authors (https://github.com/supertype-de/Blinker)	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Blinker Black	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.015;spty;Blinker-Black	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Blinker Black	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.015;PS 1.15;hotconv 1.0.88;makeotf.lib2.5.647800	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Blinker-Black	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Blinker is a trademark of supertype	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	supertype	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Juergen Huber	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://supertype.de	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://supertype.de	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	SIL Open Font License 1.1	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Typographic Family Name	Macintosh	Roman	English	Blinker	(1, 0, 0, 16)
Typographic Subfamily Name	Macintosh	Roman	English	Black	(1, 0, 0, 17)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2019 the Blinker project authors (https://github.com/supertype-de/Blinker)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Blinker Black	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.015;spty;Blinker-Black	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Blinker Black	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.015;PS 1.15;hotconv 1.0.88;makeotf.lib2.5.647800	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Blinker-Black	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Blinker is a trademark of supertype	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	supertype	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Juergen Huber	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://supertype.de	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://supertype.de	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	SIL Open Font License 1.1	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Blinker	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Black	(3, 1, 1033, 17)
