NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2010, Danh Hong (khmertype.blogspot.com),  with Reserved Font Name Bokor.  This Font Software is licensed under the SIL Open Font License, Version 1.1.  This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Bokor	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	6.00;UKWN;Bokor-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Bokor Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 6.00 December 28, 2010	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Bokor-Regular	(1, 0, 0, 6)
Designer	Macintosh	Roman	English	Danh Hong	(1, 0, 0, 9)
Designer URL	Macintosh	Roman	English	khmertype.blogspot.com	(1, 0, 0, 12)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2010, Danh Hong (khmertype.blogspot.com),  with Reserved Font Name Bokor.  This Font Software is licensed under the SIL Open Font License, Version 1.1.  This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Bokor	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	6.00;UKWN;Bokor-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Bokor Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 6.00 December 28, 2010	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Bokor-Regular	(3, 1, 1033, 6)
Designer	Windows	Unicode BMP	English (United States)	Danh Hong	(3, 1, 1033, 9)
Designer URL	Windows	Unicode BMP	English (United States)	khmertype.blogspot.com	(3, 1, 1033, 12)
