NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2018 The Cabin Project Authors (https://github.com/impallari/Cabin)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Cabin Condensed SemiBold	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	3.001;IMPA;CabinCondensed-SemiBoldItalic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Cabin Condensed SemiBold Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 3.001; ttfautohint (v1.8.3)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	CabinCondensed-SemiBoldItalic	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Cabin is a trademark of Pablo Impallari. www.impallari.com Igino Marini. www.ikern.com.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Pablo Impallari. http://www.impallari.com Igino Marini. http://www.ikern.com	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Pablo Impallari	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.impallari.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.impallari.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	https://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Cabin Condensed	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	SemiBold Italic	(3, 1, 1033, 17)
