NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2009 Dave Crossland <dave@lab6.com>	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Cantarell	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	ABATTIS : Cantarell Regular : 17-7-2009	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Cantarell Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 001.001 	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Cantarell-Regular	(1, 0, 0, 6)
Designer	Macintosh	Roman	English	Dave Crossland	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://abattis.org	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://abattis.org	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	Copyright (c) 2009 Dave Crossland <dave@lab6.com>  This font is free software: you can redistribute it and/or modify it under the terms of the GNU General Public License as published by the Free Software Foundation, either version 3 of the License, or (at your option) any later version.  In summary, you are free to do anything you like with this font on your own computer, but if you redistribute modified versions to anyone at all, you must provide full source files to them when asked.  This font is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the GNU General Public License for more details.  As a special exception, if you create a document which uses this font, and embed this font or unaltered portions of this font into the document, this font does not by itself cause the resulting document to be covered by the GNU General Public License. This exception does not however invalidate any other reasons why the document might be covered by the GNU General Public License. If you modify this font, you may extend this exception to your version of the font, but you are not obligated to do so. If you do not wish to do so, delete this exception statement from your version.	(1, 0, 0, 13)
PostScript CID findfont Name	Macintosh	Roman	English	Cantarell	(1, 0, 0, 20)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2009 Dave Crossland <dave@lab6.com>	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Cantarell	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	ABATTIS : Cantarell Regular : 17-7-2009	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Cantarell Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 001.001 	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Cantarell-Regular	(3, 1, 1033, 6)
Designer	Windows	Unicode BMP	English (United States)	Dave Crossland	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://abattis.org	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://abattis.org	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	Copyright (c) 2009 Dave Crossland <dave@lab6.com>  This font is free software: you can redistribute it and/or modify it under the terms of the GNU General Public License as published by the Free Software Foundation, either version 3 of the License, or (at your option) any later version.  In summary, you are free to do anything you like with this font on your own computer, but if you redistribute modified versions to anyone at all, you must provide full source files to them when asked.  This font is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the GNU General Public License for more details.  As a special exception, if you create a document which uses this font, and embed this font or unaltered portions of this font into the document, this font does not by itself cause the resulting document to be covered by the GNU General Public License. This exception does not however invalidate any other reasons why the document might be covered by the GNU General Public License. If you modify this font, you may extend this exception to your version of the font, but you are not obligated to do so. If you do not wish to do so, delete this exception statement from your version.	(3, 1, 1033, 13)
PostScript CID findfont Name	Windows	Unicode BMP	English (United States)	Cantarell	(3, 1, 1033, 20)
