NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2011-2012, Sorkin Type Co (www.sorkintype.com) with Reserved Font Name "Cantata"  This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is copied below, and is also available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Cantata One	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	JoanaMariaCorreiadaSilva: Cantata One Regular: 2012	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	CantataOne-Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.002	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	CantataOne-Regular	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Cantata is a trademark of Sorkin Type Co.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Joana Maria Correia da Silva	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Joana Maria Correia da Silva	(1, 0, 0, 9)
Description	Macintosh	Roman	English	Cantata is a high contrast extended Didone style text face. In addition to being useful in medium to large text sizes, Seigal is meant to evoke luxury when used in display sizes. Seigal was originally inspired by hand written letters made with a pointed pen on an old map handmade map of NYC.	(1, 0, 0, 10)
Vendor URL	Macintosh	Roman	English	http://www.sorkintype.com/	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://www.joanamcorreia.com/	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Typographic Family Name	Macintosh	Roman	English	Cantata One	(1, 0, 0, 16)
Typographic Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 17)
Compatible Full Name	Macintosh	Roman	English	Cantata One Regular	(1, 0, 0, 18)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2011-2012, Sorkin Type Co (www.sorkintype.com) with Reserved Font Name "Cantata"  This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is copied below, and is also available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Cantata One	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	JoanaMariaCorreiadaSilva: Cantata One Regular: 2012	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	CantataOne-Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.002	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	CantataOne-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Cantata is a trademark of Sorkin Type Co.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Joana Maria Correia da Silva	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Joana Maria Correia da Silva	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	Cantata is a high contrast extended Didone style text face. In addition to being useful in medium to large text sizes, Seigal is meant to evoke luxury when used in display sizes. Seigal was originally inspired by hand written letters made with a pointed pen on an old map handmade map of NYC.	(3, 1, 1033, 10)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.sorkintype.com/	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.joanamcorreia.com/	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Cantata One	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 17)
Compatible Full Name	Windows	Unicode BMP	English (United States)	Cantata One Regular	(3, 1, 1033, 18)
