NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2015 Google Inc. All Rights Reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Caveat Brush	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	PabloImpallari: Caveat Brush: 2014	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Caveat Brush	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.096; ttfautohint (v1.3)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	CaveatBrush-Regular	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Creative Lab NY	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Pablo Impallari	(3, 1, 1033, 9)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
