NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2015, Cadson Demak (info@cadsondemak.com)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Chonburi	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.000g;CDK ;Chonburi-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Chonburi	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.000g	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Chonburi-Regular	(3, 1, 1033, 6)
Vendor URL	Windows	Unicode BMP	English (United States)	www.cadsondemak	(3, 1, 1033, 11)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1.	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
