NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2020 The Cinzel Project Authors (https://github.com/NDISCOVER/Cinzel)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Cinzel	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	2.000;NONE;Cinzel-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Cinzel Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.000	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Cinzel-Regular	(3, 1, 1033, 6)
Designer	Windows	Unicode BMP	English (United States)	Natanael Gama	(3, 1, 1033, 9)
Designer URL	Windows	Unicode BMP	English (United States)	www.ndiscovered.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	https://scripts.sil.org/OFL	(3, 1, 1033, 14)
Name ID [256]	Windows	Unicode BMP	English (United States)	Decorative	(3, 1, 1033, 256)
Name ID [257]	Windows	Unicode BMP	English (United States)	Lowercase as uppercase	(3, 1, 1033, 257)
