NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright © 2012 Natanael Gama (info@ndiscovered.com), with Reserved Font Name 'Cinzel'	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Cinzel Decorative	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Black	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.002;UKWN;CinzelDecorative-Black	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Cinzel Decorative Black	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.002;PS 001.002;hotconv 1.0.56;makeotf.lib2.0.21325	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	CinzelDecorative-Black	(1, 0, 0, 6)
Designer	Macintosh	Roman	English	Natanael Gama	(1, 0, 0, 9)
Designer URL	Macintosh	Roman	English	www.ndiscovered.com	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/ofl	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright © 2012 Natanael Gama (info@ndiscovered.com), with Reserved Font Name 'Cinzel'	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Cinzel Decorative Black	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.002;UKWN;CinzelDecorative-Black	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Cinzel Decorative Black	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.002;PS 001.002;hotconv 1.0.56;makeotf.lib2.0.21325	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	CinzelDecorative-Black	(3, 1, 1033, 6)
Designer	Windows	Unicode BMP	English (United States)	Natanael Gama	(3, 1, 1033, 9)
Designer URL	Windows	Unicode BMP	English (United States)	www.ndiscovered.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/ofl	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Cinzel Decorative	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Black	(3, 1, 1033, 17)
