NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright 2014 The Comic Neue Project Authors (https://github.com/crozynski/comicneue)	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Comic Neue	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Italic	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	2.003;UKWN;ComicNeue-Italic	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Comic Neue Italic	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 2.003	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	ComicNeue-Italic	(1, 0, 0, 6)
Manufacturer	Macintosh	Roman	English	Craig Rozynski	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Craig Rozynski	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://www.comicneue.com	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://www.craigrozynski.com	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	https://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2014 The Comic Neue Project Authors (https://github.com/crozynski/comicneue)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Comic Neue	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	2.003;UKWN;ComicNeue-Italic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Comic Neue Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.003	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	ComicNeue-Italic	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Craig Rozynski	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Craig Rozynski	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.comicneue.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.craigrozynski.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	https://scripts.sil.org/OFL	(3, 1, 1033, 14)
