NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Name ID [256]	Macintosh	Roman	English	Weight	(1, 0, 0, 256)
Name ID [257]	Macintosh	Roman	English	Slant	(1, 0, 0, 257)
Name ID [258]	Macintosh	Roman	English	Flair	(1, 0, 0, 258)
Name ID [259]	Macintosh	Roman	English	Volume	(1, 0, 0, 259)
Name ID [260]	Macintosh	Roman	English	Thin	(1, 0, 0, 260)
Name ID [261]	Macintosh	Roman	English	ExtraLight	(1, 0, 0, 261)
Name ID [262]	Macintosh	Roman	English	Light	(1, 0, 0, 262)
Name ID [263]	Macintosh	Roman	English	Regular	(1, 0, 0, 263)
Name ID [264]	Macintosh	Roman	English	Medium	(1, 0, 0, 264)
Name ID [265]	Macintosh	Roman	English	SemiBold	(1, 0, 0, 265)
Name ID [266]	Macintosh	Roman	English	Bold	(1, 0, 0, 266)
Name ID [267]	Macintosh	Roman	English	ExtraBold	(1, 0, 0, 267)
Name ID [268]	Macintosh	Roman	English	Black	(1, 0, 0, 268)
Name ID [269]	Macintosh	Roman	English	Thin Italic	(1, 0, 0, 269)
Name ID [270]	Macintosh	Roman	English	ExtraLight Italic	(1, 0, 0, 270)
Name ID [271]	Macintosh	Roman	English	Light Italic	(1, 0, 0, 271)
Name ID [272]	Macintosh	Roman	English	Italic	(1, 0, 0, 272)
Name ID [273]	Macintosh	Roman	English	Medium Italic	(1, 0, 0, 273)
Name ID [274]	Macintosh	Roman	English	SemiBold Italic	(1, 0, 0, 274)
Name ID [275]	Macintosh	Roman	English	Bold Italic	(1, 0, 0, 275)
Name ID [276]	Macintosh	Roman	English	ExtraBold Italic	(1, 0, 0, 276)
Name ID [277]	Macintosh	Roman	English	Black Italic	(1, 0, 0, 277)
Name ID [278]	Macintosh	Roman	English	Flair Thin	(1, 0, 0, 278)
Name ID [279]	Macintosh	Roman	English	Flair ExtraLight	(1, 0, 0, 279)
Name ID [280]	Macintosh	Roman	English	Flair Light	(1, 0, 0, 280)
Name ID [281]	Macintosh	Roman	English	Flair Regular	(1, 0, 0, 281)
Name ID [282]	Macintosh	Roman	English	Flair Medium	(1, 0, 0, 282)
Name ID [283]	Macintosh	Roman	English	Flair SemiBold	(1, 0, 0, 283)
Name ID [284]	Macintosh	Roman	English	Flair Bold	(1, 0, 0, 284)
Name ID [285]	Macintosh	Roman	English	Flair ExtraBold	(1, 0, 0, 285)
Name ID [286]	Macintosh	Roman	English	Flair Black	(1, 0, 0, 286)
Name ID [287]	Macintosh	Roman	English	Flair Thin Italic	(1, 0, 0, 287)
Name ID [288]	Macintosh	Roman	English	Flair ExtraLight Italic	(1, 0, 0, 288)
Name ID [289]	Macintosh	Roman	English	Flair Light Italic	(1, 0, 0, 289)
Name ID [290]	Macintosh	Roman	English	Flair Italic	(1, 0, 0, 290)
Name ID [291]	Macintosh	Roman	English	Flair Medium Italic	(1, 0, 0, 291)
Name ID [292]	Macintosh	Roman	English	Flair SemiBold Italic	(1, 0, 0, 292)
Name ID [293]	Macintosh	Roman	English	Flair Bold Italic	(1, 0, 0, 293)
Name ID [294]	Macintosh	Roman	English	Flair ExtraBold Italic	(1, 0, 0, 294)
Name ID [295]	Macintosh	Roman	English	Flair Black Italic	(1, 0, 0, 295)
Name ID [296]	Macintosh	Roman	English	Loud Thin	(1, 0, 0, 296)
Name ID [297]	Macintosh	Roman	English	Loud ExtraLight	(1, 0, 0, 297)
Name ID [298]	Macintosh	Roman	English	Loud Light	(1, 0, 0, 298)
Name ID [299]	Macintosh	Roman	English	Loud Regular	(1, 0, 0, 299)
Name ID [300]	Macintosh	Roman	English	Loud Medium	(1, 0, 0, 300)
Name ID [301]	Macintosh	Roman	English	Loud SemiBold	(1, 0, 0, 301)
Name ID [302]	Macintosh	Roman	English	Loud Bold	(1, 0, 0, 302)
Name ID [303]	Macintosh	Roman	English	Loud ExtraBold	(1, 0, 0, 303)
Name ID [304]	Macintosh	Roman	English	Loud Black	(1, 0, 0, 304)
Name ID [305]	Macintosh	Roman	English	Loud Thin Italic	(1, 0, 0, 305)
Name ID [306]	Macintosh	Roman	English	Loud ExtraLight Italic	(1, 0, 0, 306)
Name ID [307]	Macintosh	Roman	English	Loud Light Italic	(1, 0, 0, 307)
Name ID [308]	Macintosh	Roman	English	Loud Italic	(1, 0, 0, 308)
