NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2019 The Darkergrotesque Project Authors (https://github.com/bettergui/DarkerGrotesque)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Darker Grotesque	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.000;NONE;DarkerGrotesque-Bold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Darker Grotesque Bold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.000; ttfautohint (v1.8.3)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	DarkerGrotesque-Bold	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Darker Grotesque is designed by Gia Bao Lam (also known as Gabriel Lam). For more information, please visit https://bygabriel.co/	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	TypeRant	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Gabriel Lam	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	bygabriel.co	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	bygabriel.co	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
