NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2014 - 2017 Adobe Systems Incorporated (http://www.adobe.com/), with Reserved Font Name 'Source'. Copyright 2019 Google LLC.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	DM Serif Text	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	5.200;GOOG;DMSerifText-Italic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	DM Serif Text Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 5.200; ttfautohint (v1.8.3)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	DMSerifText-Italic	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Source is a trademark of Adobe Systems Incorporated in the United States and/or other countries.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Colophon Foundry	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Colophon Foundry, Frank Grießhammer	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.colophon-foundry.org	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.adobe.com/type	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
