NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2010-2012, Alejandro Inler (alejandroinler@gmail.com), with Reserved Font Name 'Elsie'	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Elsie	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Black	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.002;UKWN;Elsie-Black	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Elsie Black	(1, 0, 0, 4)
Version	Macintosh	Roman	English	1.002	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Elsie-Black	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Elsie is a trademark of Alejandro Inler.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Alejandro Inler	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Alejandro Inler	(1, 0, 0, 9)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2010-2012, Alejandro Inler (alejandroinler@gmail.com), with Reserved Font Name 'Elsie'	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Elsie Black	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.002;UKWN;Elsie-Black	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Elsie Black	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	1.002	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Elsie-Black	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Elsie is a trademark of Alejandro Inler.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Alejandro Inler	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Alejandro Inler	(3, 1, 1033, 9)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Elsie	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Black	(3, 1, 1033, 17)
