NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2012, Eduardo Tunni (http://www.tipo.net.ar), with Reserved Font Name 'Faster'	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Faster One	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	EduardoRodriguezTunni: Faster: 2015	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Faster One	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.002	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	FasterOne-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Faster is a trademark of Eduardo Rodriguez Tunni.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Eduardo Rodriguez Tunni	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Eduardo Rodriguez Tunni	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.tipo.net.ar	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.tipo.net.ar	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
